,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,-1.1044675607287217e-06,0.1746998235878918,3.2008951577957943,0,0.0,0.0,0.35253568138812874,0.6474643186118713,0,-225990.45249901997,0.0,-6.17092597407396,-6.17092597407396
1,-1.1819034085136646e-06,0.17566761017163732,3.20107055634461,0,0.0,0.10101010101010101,0.35516992785940005,0.6448300721406,0,-225990.4524525788,4.644118598662317e-05,-6.17092597407396,-6.069915873063859
2,-1.3477762803502316e-06,0.17568680320073826,3.20129631870573,0,0.0,0.20202020202020202,0.3546482877725776,0.6453517122274224,0,-225990.45238188189,0.00011713808635249734,-6.17092597407396,-5.968905772053757
3,-1.7474181288603097e-06,0.17587464807669864,3.201574258392634,0,0.0,0.30303030303030304,0.3545174793960994,0.6454825206039007,0,-225990.45227377582,0.00022524414816871285,-6.17092597407396,-5.867895671043657
4,-2.2937674809364395e-06,0.17635252200490753,3.2019381539745484,0,0.0,0.40404040404040403,0.35508747426467757,0.6449125257353223,0,-225990.45210760788,0.000391412089811638,-6.17092597407396,-5.766885570033555
5,-3.0174618202031887e-06,0.17707797888035096,3.2023907244248404,0,0.0,0.5050505050505051,0.3562022969534043,0.6437977030465959,0,-225990.45185076987,0.0006482501048594713,-6.17092597407396,-5.6658754690234545
6,-3.6960137201350192e-06,0.17844979138118108,3.202948822913836,0,0.0,0.6060606060606061,0.3591055008330663,0.6408944991669336,0,-225990.4514531909,0.0010458290635142475,-6.17092597407396,-5.564865368013354
7,-4.732352189776035e-06,0.17852101504404613,3.2036801759328806,0,0.0,0.7070707070707071,0.35743027354103146,0.6425697264589685,0,-225990.4508308916,0.0016681283595971763,-6.17092597407396,-5.463855267003252
8,-5.8308861352027735e-06,0.1812904184345734,3.204556972829156,0,0.0,0.8080808080808081,0.36391767537287745,0.6360823246271226,0,-225990.4498707449,0.0026282750768586993,-6.17092597407396,-5.362845165993152
9,-2.193269571447648e-06,0.19322827432721593,3.2054088240938503,0,0.0,0.9090909090909091,0.39878020666776987,0.6012197933322301,0,-225990.44842757346,0.00407144651398994,-6.17092597407396,-5.261835064983051
