,gamma,PHI,x_vals,llh,delta_llh
30,2.5,0.5,"[-7.73172537e-02  1.18933498e-02  5.38516477e-01  1.48996654e-01
  6.59576134e-01 -1.29977108e+02]",-293076.6344113757,543.0496303064283
31,2.5,0.55,"[ 1.68211425e-02  8.00000000e+00  5.47722561e-01  1.49332409e-01
  7.51714338e-01 -1.62167427e+02]",-293609.17016366863,10.513878013473004
32,2.5,0.6000000000000001,"[ 1.56918836e-02  8.00000000e+00  5.47723941e-01  1.49331838e-01
  7.54236825e-01 -1.62167488e+02]",-293608.6789640205,11.00507766159717
33,2.5,0.6500000000000001,"[ 1.43175307e-02  8.00000000e+00  5.47722556e-01  1.49331353e-01
  7.54983353e-01 -1.62167538e+02]",-293607.9161292837,11.767912398383487
34,2.5,0.7000000000000002,"[ 1.31458674e-02  8.00000000e+00  5.47722557e-01  1.49331787e-01
  7.58287173e-01 -1.62167629e+02]",-293606.77378745825,12.910254223854281
35,2.5,0.75,"[ 1.16236569e-02  8.00000000e+00  5.47632612e-01  1.49333239e-01
  7.58287540e-01 -1.62167741e+02]",-293605.23120562785,14.452836054260843
36,2.5,0.8,"[ 9.78894778e-03  8.00000000e+00  5.47429857e-01  1.49331842e-01
  7.58436267e-01 -1.62167931e+02]",-293603.1338739632,16.55016771890223
37,2.5,0.8500000000000001,"[ 8.49744441e-03  8.00000000e+00  5.43138733e-01  1.49331844e-01
  7.61577189e-01 -1.62168502e+02]",-293600.60557710635,19.07846457575215
38,2.5,0.9000000000000001,"[ 6.88119220e-03  8.00000000e+00  5.42436924e-01  1.49331845e-01
  7.62982679e-01 -1.62168799e+02]",-293597.3591880513,22.324853630794678
39,2.5,0.9500000000000002,"[ 4.91923394e-03  8.00000000e+00  5.41234307e-01  1.49395170e-01
  7.64852927e-01 -1.62169322e+02]",-293593.45856787224,26.22547380987089
40,2.5,1.0,"[ 3.54747664e-03  8.00000000e+00  5.38516474e-01  1.49666388e-01
  7.68114780e-01 -1.62169871e+02]",-293588.84665988636,30.837381795747206
41,2.5,1.0500000000000003,"[ 1.14605727e-03  8.00000000e+00  5.38204596e-01  1.49666295e-01
  7.68468534e-01 -1.62170703e+02]",-293583.1709733536,36.51306832849514
42,2.5,1.1,"[-4.29723376e-04  8.00000000e+00  5.33853907e-01  1.49666300e-01
  7.71365257e-01 -1.62171690e+02]",-293576.715370437,42.96867124509299
43,2.5,1.15,"[-1.73602210e-03  8.00000000e+00  5.29150262e-01  1.50099373e-01
  7.74625795e-01 -1.62172743e+02]",-293569.13809249713,50.54594918497605
44,2.5,1.2000000000000002,"[-4.31101029e-03  8.00000000e+00  5.29150249e-01  1.50000002e-01
  7.77817410e-01 -1.62174457e+02]",-293560.3588676834,59.32517399871722
45,2.5,1.25,"[-6.45745821e-03  8.00000000e+00  5.24400905e-01  1.50125018e-01
  7.81024959e-01 -1.62176400e+02]",-293550.332425829,69.35161585308379
46,2.5,1.3000000000000003,"[-7.99184964e-03  8.00000000e+00  5.19615242e-01  1.50331610e-01
  7.83042662e-01 -1.62178262e+02]",-293538.91492855106,80.7691131310421
47,2.5,1.35,"[-1.10523274e-02  8.00000000e+00  5.17697082e-01  1.50663000e-01
  7.84219357e-01 -1.62183782e+02]",-293526.0789798128,93.60506186931161
48,2.5,1.4000000000000004,"[-1.29783114e-02  8.00000000e+00  5.14781498e-01  1.50663672e-01
  7.88096338e-01 -1.62186421e+02]",-293511.74792958284,107.93611209926894
49,2.5,1.4500000000000002,"[-1.49470213e-02  8.00000000e+00  5.09901926e-01  1.50996284e-01
  7.90569415e-01 -1.62189746e+02]",-293495.8780579029,123.80598377919523
50,2.5,1.5,"[-1.72623255e-02  8.00000000e+00  5.04975242e-01  1.50996684e-01
  7.93727039e-01 -1.62193985e+02]",-293478.16516968474,141.51887199736666
51,2.5326530612244897,-1.0,"[ 2.99577000e-02  7.99929566e+00  5.52248962e-01  1.48996640e-01
  7.48331477e-01 -1.62193981e+02]",-293598.3734979425,21.310543739586137
52,2.5326530612244897,-0.95,"[ 2.99554179e-02  7.99929564e+00  5.52249289e-01  1.48996753e-01
  7.48331149e-01 -1.62193981e+02]",-293598.5174768126,21.16656486951979
53,2.5326530612244897,-0.9,"[ 2.98405391e-02  7.99929499e+00  5.52268046e-01  1.48999134e-01
  7.48340784e-01 -1.62193977e+02]",-293598.67611723964,21.00792444247054
54,2.5326530612244897,-0.85,"[ 2.97926999e-02  7.99929499e+00  5.52264639e-01  1.48996644e-01
  7.48333644e-01 -1.62193976e+02]",-293598.8496526639,20.834389018185902
55,2.5326530612244897,-0.8,"[ 2.97926985e-02  7.99929499e+00  5.52264640e-01  1.48996644e-01
  7.48333644e-01 -1.62193976e+02]",-293599.03965890873,20.644382773374673
56,2.5326530612244897,-0.75,"[ 2.94919865e-02  7.99929315e+00  5.52268043e-01  1.48997007e-01
  7.48331476e-01 -1.62193966e+02]",-293599.2481440981,20.435897584015038
57,2.5326530612244897,-0.7,"[ 2.94919709e-02  7.99929315e+00  5.52268045e-01  1.48997006e-01
  7.48331474e-01 -1.62193966e+02]",-293599.4753188884,20.208722793729976
58,2.5326530612244897,-0.6499999999999999,"[ 2.94850781e-02  7.99929315e+00  5.52267495e-01  1.48996644e-01
  7.48332038e-01 -1.62193966e+02]",-293599.7228209386,19.961220743483864
59,2.5326530612244897,-0.6,"[ 2.90682603e-02  7.99929079e+00  5.52268050e-01  1.48996693e-01
  7.48333025e-01 -1.62193952e+02]",-293599.992931598,19.691110084124375
60,2.5326530612244897,-0.55,"[ 2.90592165e-02  7.99929079e+00  5.52268015e-01  1.48996622e-01
  7.48331385e-01 -1.62193952e+02]",-293600.28574058466,19.398301097447984
61,2.5326530612244897,-0.5,"[ 2.90575174e-02  7.99929079e+00  5.52268029e-01  1.48996642e-01
  7.48331598e-01 -1.62193952e+02]",-293600.60264613247,19.081395549641456
62,2.5326530612244897,-0.44999999999999996,"[ 2.86593164e-02  7.99929209e+00  5.52268052e-01  1.48996644e-01
  7.48331764e-01 -1.62193933e+02]",-293600.9461654554,18.737876226718072
63,2.5326530612244897,-0.3999999999999999,"[ 2.86592924e-02  7.99929209e+00  5.52268050e-01  1.48996642e-01
  7.48331761e-01 -1.62193933e+02]",-293601.3153713522,18.368670329917222
64,2.5326530612244897,-0.35,"[ 2.83982477e-02  7.99929210e+00  5.52266259e-01  1.48996644e-01
  7.48313595e-01 -1.62193923e+02]",-293601.71239618823,17.971645493875258
65,2.5326530612244897,-0.29999999999999993,"[ 2.78988233e-02  7.99929236e+00  5.52268037e-01  1.48996661e-01
  7.48331498e-01 -1.62193900e+02]",-293602.13862509286,17.54541658924427
66,2.5326530612244897,-0.25,"[ 2.78985805e-02  7.99929236e+00  5.52268057e-01  1.48996645e-01
  7.48331459e-01 -1.62193900e+02]",-293602.591902403,17.0921392791206
67,2.5326530612244897,-0.19999999999999996,"[ 2.78984039e-02  7.99929236e+00  5.52268040e-01  1.48996636e-01
  7.48331475e-01 -1.62193900e+02]",-293603.072143447,16.61189823510358
68,2.5326530612244897,-0.1499999999999999,"[ 2.71968290e-02  7.99929329e+00  5.52263510e-01  1.48996627e-01
  7.48331472e-01 -1.62193865e+02]",-293603.5834905101,16.10055117198499
69,2.5326530612244897,-0.09999999999999998,"[ 2.66413608e-02  7.99929375e+00  5.52267888e-01  1.48996643e-01
  7.48289559e-01 -1.62193838e+02]",-293604.1190764076,15.564965274534188
70,2.5326530612244897,-0.04999999999999993,"[ 2.61795599e-02  7.99929419e+00  5.52268202e-01  1.48996106e-01
  7.48331470e-01 -1.62193814e+02]",-293604.6785664081,15.005475273996126
71,2.5326530612244897,0.0,"[ 2.58915494e-02  7.99929469e+00  5.52269268e-01  1.48996953e-01
  7.48331471e-01 -1.62193801e+02]",-293605.25775490294,14.426286779169459
72,2.5326530612244897,0.050000000000000044,"[ 2.52279362e-02  7.99929589e+00  5.52268016e-01  1.48996644e-01
  7.48329264e-01 -1.62193768e+02]",-293605.85281767865,13.831224003457464
73,2.5326530612244897,0.10000000000000009,"[ 2.52274818e-02  7.99929589e+00  5.52268082e-01  1.48996623e-01
  7.48329305e-01 -1.62193768e+02]",-293606.4549024441,13.229139238013886
74,2.5326530612244897,0.15000000000000013,"[ 2.40778620e-02  7.99929705e+00  5.52258338e-01  1.48996643e-01
  7.48331578e-01 -1.62193716e+02]",-293607.0614391013,12.622602580813691
75,2.5326530612244897,0.20000000000000018,"[ 2.35068518e-02  7.99929835e+00  5.52267927e-01  1.48996213e-01
  7.48331469e-01 -1.62193688e+02]",-293607.65717293805,12.02686874405481
76,2.5326530612244897,0.25,"[ 2.27427798e-02  7.99929915e+00  5.52268089e-01  1.48996643e-01
  7.48331715e-01 -1.62193654e+02]",-293608.2300387371,11.454002944985405
77,2.5326530612244897,0.30000000000000004,"[ 2.20216927e-02  7.99930018e+00  5.52268194e-01  1.49009159e-01
  7.48331470e-01 -1.62193622e+02]",-293608.763533291,10.920508391107433
78,2.5326530612244897,0.3500000000000001,"[ 2.10640175e-02  7.99930158e+00  5.52268045e-01  1.48996644e-01
  7.48331419e-01 -1.62193584e+02]",-293609.23844187416,10.445599807950202
79,2.5326530612244897,0.40000000000000013,"[ 2.01723839e-02  7.99930299e+00  5.52267662e-01  1.48996649e-01
  7.48331474e-01 -1.62193544e+02]",-293609.6294996599,10.054542022233363
80,2.5326530612244897,0.4500000000000002,"[ 1.92165626e-02  7.99930583e+00  5.52265176e-01  1.49002010e-01
  7.48331472e-01 -1.62193512e+02]",-293609.9072689245,9.776772757584695
81,2.5326530612244897,0.5,"[ 1.80892280e-02  7.99929661e+00  5.52268043e-01  1.49303529e-01
  7.48861452e-01 -1.62193483e+02]",-293610.0383759459,9.645665736228693
82,2.5326530612244897,0.55,"[ 1.66474770e-02  7.99934719e+00  5.52257545e-01  1.49332111e-01
  7.51664814e-01 -1.62193443e+02]",-293610.01983155555,9.664210126560647
83,2.5326530612244897,0.6000000000000001,"[ 1.61808791e-02  7.99963280e+00  5.47722560e-01  1.49331842e-01
  7.51700791e-01 -1.62193601e+02]",-293609.7801044315,9.903937250608578
84,2.5326530612244897,0.6500000000000001,"[ 1.47170048e-02  7.99964434e+00  5.47722555e-01  1.49331828e-01
  7.51902353e-01 -1.62193596e+02]",-293609.3005958492,10.383445832878351
85,2.5326530612244897,0.7000000000000002,"[ 1.34890198e-02  7.99975999e+00  5.47722584e-01  1.49331840e-01
  7.54983358e-01 -1.62193654e+02]",-293608.54622886167,11.13781282043783
86,2.5326530612244897,0.75,"[ 1.22618079e-02  7.99992720e+00  5.47723599e-01  1.49347587e-01
  7.58287540e-01 -1.62193749e+02]",-293607.4005194708,12.283522211306263
87,2.5326530612244897,0.8,"[ 1.10011413e-02  7.99992993e+00  5.47722543e-01  1.49311449e-01
  7.58287544e-01 -1.62193847e+02]",-293605.84183086,13.842210822098423
88,2.5326530612244897,0.8500000000000001,"[ 9.20288642e-03  8.00000000e+00  5.43139025e-01  1.49299012e-01
  7.58357065e-01 -1.62194152e+02]",-293603.74506010447,15.938981577637605
89,2.5326530612244897,0.9000000000000001,"[ 7.41001488e-03  8.00000000e+00  5.43139065e-01  1.49331845e-01
  7.61577344e-01 -1.62194509e+02]",-293601.155264542,18.52877714013448
90,2.5326530612244897,0.9500000000000002,"[ 5.72199333e-03  8.00000000e+00  5.43183143e-01  1.49333875e-01
  7.64852919e-01 -1.62195029e+02]",-293597.88865523576,21.795386446348857
91,2.5326530612244897,1.0,"[ 3.97433182e-03  8.00000000e+00  5.38715365e-01  1.49666232e-01
  7.64852927e-01 -1.62195558e+02]",-293593.91535115597,25.768690526136197
92,2.5326530612244897,1.0500000000000003,"[ 2.36240658e-03  8.00000000e+00  5.38266275e-01  1.49569091e-01
  7.68114568e-01 -1.62196121e+02]",-293589.1601659539,30.523875728191342
93,2.5326530612244897,1.1,"[-6.13720921e-04  8.00000000e+00  5.37901044e-01  1.49666292e-01
  7.68557780e-01 -1.62197186e+02]",-293583.3577028584,36.3263388237101
94,2.5326530612244897,1.15,"[-1.65513208e-03  8.00000000e+00  5.33855477e-01  1.49666295e-01
  7.74227177e-01 -1.62198031e+02]",-293576.801403414,42.88263826811453
95,2.5326530612244897,1.2000000000000002,"[-4.43892106e-03  8.00000000e+00  5.33327517e-01  1.50004565e-01
  7.74596669e-01 -1.62199487e+02]",-293568.9917053048,50.6923363772803
96,2.5326530612244897,1.25,"[-6.24052136e-03  8.00000000e+00  5.29150131e-01  1.50000010e-01
  7.77817446e-01 -1.62201046e+02]",-293560.0945360381,59.58950564399129
97,2.5326530612244897,1.3000000000000003,"[-8.04400231e-03  8.00000000e+00  5.24404423e-01  1.50332437e-01
  7.81024960e-01 -1.62202811e+02]",-293549.9062744703,69.77776721178088
98,2.5326530612244897,1.35,"[-9.95748266e-03  8.00000000e+00  5.19615235e-01  1.50332946e-01
  7.84219311e-01 -1.62205093e+02]",-293538.27801832824,81.40602335386211
99,2.5326530612244897,1.4000000000000004,"[-1.39497012e-02  8.00000000e+00  5.14785254e-01  1.50665185e-01
  7.84219409e-01 -1.62209954e+02]",-293525.1463564587,94.53768522338942
100,2.5326530612244897,1.4500000000000002,"[-1.46043065e-02  8.00000000e+00  5.14781434e-01  1.50665186e-01
  7.90569344e-01 -1.62212132e+02]",-293510.5575031236,109.12653855851386
101,2.5326530612244897,1.5,"[-1.70252033e-02  8.00000000e+00  5.09255690e-01  1.50987104e-01
  7.90569415e-01 -1.62216022e+02]",-293494.32118541497,125.36285626713652
102,2.5653061224489795,-1.0,"[ 2.97360962e-02  7.99932940e+00  5.52268043e-01  1.49227353e-01
  7.48942828e-01 -1.62215650e+02]",-293598.2611318379,21.422909844201058
103,2.5653061224489795,-0.95,"[ 2.97361101e-02  7.99932940e+00  5.52268045e-01  1.49227353e-01
  7.48942826e-01 -1.62215650e+02]",-293598.3949444845,21.28909719758667
104,2.5653061224489795,-0.9,"[ 2.97361101e-02  7.99932940e+00  5.52268045e-01  1.49227352e-01
  7.48942826e-01 -1.62215650e+02]",-293598.5421726662,21.14186901593348
105,2.5653061224489795,-0.85,"[ 2.97361101e-02  7.99932940e+00  5.52268045e-01  1.49227352e-01
  7.48942826e-01 -1.62215650e+02]",-293598.70396730443,20.98007437767228
106,2.5653061224489795,-0.8,"[ 2.97148571e-02  7.99932928e+00  5.52265934e-01  1.49226336e-01
  7.48939752e-01 -1.62215650e+02]",-293598.881538587,20.802503095124848
