,gamma,PHI,x_vals,llh,delta_llh
316,2.695918367346939,-0.5,"[ 2.94756628e-02  7.99999537e+00  5.52268044e-01  1.48996711e-01
  7.48331476e-01 -1.62088773e+02]",-293599.56701054756,20.117031134548597
317,2.695918367346939,-0.44999999999999996,"[ 2.94756126e-02  7.99999537e+00  5.52268051e-01  1.48996709e-01
  7.48331469e-01 -1.62088773e+02]",-293599.8354348299,19.84860685223248
318,2.695918367346939,-0.3999999999999999,"[ 2.88712708e-02  7.99999538e+00  5.52267964e-01  1.48996644e-01
  7.48331693e-01 -1.62088750e+02]",-293600.13129011495,19.55275156715652
319,2.695918367346939,-0.35,"[ 2.88709374e-02  7.99999538e+00  5.52268012e-01  1.48996628e-01
  7.48331645e-01 -1.62088750e+02]",-293600.45280764566,19.23123403644422
320,2.695918367346939,-0.29999999999999993,"[ 2.84815903e-02  7.99999535e+00  5.52268002e-01  1.48997260e-01
  7.48331577e-01 -1.62088735e+02]",-293600.8037558678,18.880285814288072
321,2.695918367346939,-0.25,"[ 2.84771151e-02  7.99999533e+00  5.52268015e-01  1.48996643e-01
  7.48331412e-01 -1.62088735e+02]",-293601.18485090596,18.499190776143223
322,2.695918367346939,-0.19999999999999996,"[ 2.80002013e-02  7.99999525e+00  5.52268038e-01  1.48996698e-01
  7.48331473e-01 -1.62088715e+02]",-293601.5989341439,18.08510753820883
323,2.695918367346939,-0.1499999999999999,"[ 2.80000930e-02  7.99999525e+00  5.52268053e-01  1.48996693e-01
  7.48331457e-01 -1.62088715e+02]",-293602.0460131986,17.638028483488597
324,2.695918367346939,-0.09999999999999998,"[ 2.79990462e-02  7.99999525e+00  5.52267966e-01  1.48996638e-01
  7.48331541e-01 -1.62088715e+02]",-293602.52695016755,17.15709151455667
325,2.695918367346939,-0.04999999999999993,"[ 2.77294462e-02  7.99999525e+00  5.52268045e-01  1.49023365e-01
  7.48295729e-01 -1.62088701e+02]",-293603.0441821449,16.639859537186567
326,2.695918367346939,0.0,"[ 2.67208799e-02  7.99999525e+00  5.52268139e-01  1.48996644e-01
  7.48331523e-01 -1.62088655e+02]",-293603.6030301777,16.08101150440052
327,2.695918367346939,0.050000000000000044,"[ 2.63434123e-02  7.99999528e+00  5.52268265e-01  1.48996644e-01
  7.48320989e-01 -1.62088636e+02]",-293604.19465668645,15.48938499565702
328,2.695918367346939,0.10000000000000009,"[ 2.59420600e-02  7.99999555e+00  5.52269626e-01  1.48996643e-01
  7.48330192e-01 -1.62088613e+02]",-293604.822080076,14.861961606133264
329,2.695918367346939,0.15000000000000013,"[ 2.53436955e-02  7.99999557e+00  5.52268045e-01  1.48999082e-01
  7.48329435e-01 -1.62088580e+02]",-293605.48370775214,14.20033392996993
330,2.695918367346939,0.20000000000000018,"[ 2.53072589e-02  7.99999557e+00  5.52272365e-01  1.48996642e-01
  7.48331849e-01 -1.62088578e+02]",-293606.1747595533,13.50928212882718
331,2.695918367346939,0.25,"[ 2.41757578e-02  7.99999565e+00  5.52268043e-01  1.48996679e-01
  7.48201210e-01 -1.62088508e+02]",-293606.8967255384,12.787316143687349
332,2.695918367346939,0.30000000000000004,"[ 2.40908385e-02  7.99999565e+00  5.52268051e-01  1.48996954e-01
  7.48188862e-01 -1.62088503e+02]",-293607.63605010876,12.047991573344916
333,2.695918367346939,0.3500000000000001,"[ 2.26664589e-02  7.99999639e+00  5.52266802e-01  1.48996642e-01
  7.47891154e-01 -1.62088419e+02]",-293608.3933574852,11.290684196923394
334,2.695918367346939,0.40000000000000013,"[ 2.19501336e-02  7.99999634e+00  5.52268047e-01  1.48997313e-01
  7.47792149e-01 -1.62088379e+02]",-293609.1512604466,10.532781235524453
335,2.695918367346939,0.4500000000000002,"[ 2.10926685e-02  7.99999641e+00  5.52268096e-01  1.48996643e-01
  7.47868056e-01 -1.62088331e+02]",-293609.89811510145,9.785926580661908
336,2.695918367346939,0.5,"[ 2.01146726e-02  7.99999647e+00  5.52268047e-01  1.48996644e-01
  7.47960303e-01 -1.62088270e+02]",-293610.61749796424,9.066543717868626
337,2.695918367346939,0.55,"[ 1.91512712e-02  7.99999718e+00  5.52269022e-01  1.48996776e-01
  7.48331468e-01 -1.62088211e+02]",-293611.28988482524,8.394156856869813
338,2.695918367346939,0.6000000000000001,"[ 1.79633236e-02  7.99999726e+00  5.52268025e-01  1.48996642e-01
  7.48330592e-01 -1.62088158e+02]",-293611.8874821882,7.796559493930545
339,2.695918367346939,0.6500000000000001,"[ 1.67646965e-02  7.99999753e+00  5.52275705e-01  1.48996642e-01
  7.48359966e-01 -1.62088111e+02]",-293612.37802498357,7.30601669853786
340,2.695918367346939,0.7000000000000002,"[ 1.52454410e-02  7.99999790e+00  5.52262444e-01  1.48996649e-01
  7.48331135e-01 -1.62088060e+02]",-293612.7255764528,6.958465229312424
341,2.695918367346939,0.75,"[ 1.36787390e-02  8.00000000e+00  5.52258933e-01  1.49331836e-01
  7.48651653e-01 -1.62088021e+02]",-293612.8827099092,6.801331772934645
342,2.695918367346939,0.8,"[ 1.24147963e-02  8.00000000e+00  5.52267625e-01  1.49331836e-01
  7.51665097e-01 -1.62088001e+02]",-293612.84954348626,6.834498195850756
343,2.695918367346939,0.8500000000000001,"[ 1.10515292e-02  8.00000000e+00  5.47722557e-01  1.49330552e-01
  7.51664547e-01 -1.62088012e+02]",-293612.5484798159,7.135561866220087
344,2.695918367346939,0.9000000000000001,"[ 9.15254494e-03  8.00000000e+00  5.47736814e-01  1.49331840e-01
  7.51886914e-01 -1.62088045e+02]",-293611.91833786847,7.765703813638538
345,2.695918367346939,0.9500000000000002,"[ 7.54778187e-03  8.00000000e+00  5.47722820e-01  1.49331570e-01
  7.54983450e-01 -1.62088142e+02]",-293610.9643117162,8.719729965901934
346,2.695918367346939,1.0,"[ 5.76680485e-03  8.00000000e+00  5.47722550e-01  1.49331825e-01
  7.58287533e-01 -1.62088301e+02]",-293609.5428657503,10.141175931785256
347,2.695918367346939,1.0500000000000003,"[ 3.25782376e-03  8.00000000e+00  5.47396115e-01  1.49331841e-01
  7.58559705e-01 -1.62088564e+02]",-293607.5078177759,12.17622390622273
348,2.695918367346939,1.1,"[ 2.46519183e-03  8.00000000e+00  5.43139024e-01  1.49379096e-01
  7.61737173e-01 -1.62088788e+02]",-293604.9845786214,14.699463060707785
349,2.695918367346939,1.15,"[-3.26529213e-04  8.00000000e+00  5.43138835e-01  1.49331858e-01
  7.64847978e-01 -1.62089387e+02]",-293601.7356119495,17.948429732583463
350,2.695918367346939,1.2000000000000002,"[-2.77285248e-03  8.00000000e+00  5.38516479e-01  1.49667319e-01
  7.64747775e-01 -1.62090131e+02]",-293597.70769122435,21.97635045775678
351,2.695918367346939,1.25,"[-4.94730001e-03  8.00000000e+00  5.38516879e-01  1.49666293e-01
  7.68114683e-01 -1.62090894e+02]",-293592.8596730122,26.82436866988428
352,2.695918367346939,1.3000000000000003,"[-6.46405853e-03  8.00000000e+00  5.33853908e-01  1.49666288e-01
  7.71431222e-01 -1.62091722e+02]",-293586.97120671044,32.71283497166587
353,2.695918367346939,1.35,"[-9.55922477e-03  8.00000000e+00  5.33853905e-01  1.49999719e-01
  7.74596663e-01 -1.62093265e+02]",-293580.09730596753,39.58673571457621
354,2.695918367346939,1.4000000000000004,"[-1.24403264e-02  8.00000000e+00  5.29150294e-01  1.49999986e-01
  7.74596770e-01 -1.62095112e+02]",-293572.0334610824,47.65058059972944
355,2.695918367346939,1.4500000000000002,"[-1.48086570e-02  8.00000000e+00  5.24404424e-01  1.50001700e-01
  7.77817263e-01 -1.62097263e+02]",-293562.62141661916,57.06262506294297
356,2.695918367346939,1.5,"[-1.77960409e-02  8.00000000e+00  5.24404293e-01  1.50332963e-01
  7.81025050e-01 -1.62100165e+02]",-293551.93312950764,67.75091217446607
357,2.7285714285714286,-1.0,"[ 3.01840811e-02  7.99969042e+00  5.52267338e-01  1.49325201e-01
  7.51664788e-01 -1.62099858e+02]",-293597.8505251977,21.833516484417487
358,2.7285714285714286,-0.95,"[ 3.00705162e-02  7.99969036e+00  5.52267882e-01  1.49331842e-01
  7.51661207e-01 -1.62099854e+02]",-293597.9431318155,21.740909866581205
359,2.7285714285714286,-0.9,"[ 2.98336207e-02  7.99968730e+00  5.52268043e-01  1.49002263e-01
  7.48332206e-01 -1.62099594e+02]",-293598.0475187554,21.63652292668121
360,2.7285714285714286,-0.85,"[ 2.98336208e-02  7.99968730e+00  5.52268043e-01  1.49002263e-01
  7.48332206e-01 -1.62099594e+02]",-293598.163756558,21.520285124133807
361,2.7285714285714286,-0.8,"[ 2.98336208e-02  7.99968730e+00  5.52268043e-01  1.49002263e-01
  7.48332206e-01 -1.62099594e+02]",-293598.29244647844,21.39159520366229
362,2.7285714285714286,-0.75,"[ 2.98336208e-02  7.99968730e+00  5.52268043e-01  1.49002263e-01
  7.48332206e-01 -1.62099594e+02]",-293598.43478739174,21.24925429036375
363,2.7285714285714286,-0.7,"[ 2.98314846e-02  7.99968730e+00  5.52268140e-01  1.49002161e-01
  7.48331898e-01 -1.62099594e+02]",-293598.59206522215,21.091976459953003
364,2.7285714285714286,-0.6499999999999999,"[ 2.95832155e-02  7.99968724e+00  5.52268044e-01  1.48996644e-01
  7.48331475e-01 -1.62099586e+02]",-293598.7660603639,20.917981318198144
365,2.7285714285714286,-0.6,"[ 2.95832042e-02  7.99968724e+00  5.52268043e-01  1.48996644e-01
  7.48331476e-01 -1.62099586e+02]",-293598.95776084915,20.726280832954217
366,2.7285714285714286,-0.55,"[ 2.95832019e-02  7.99968724e+00  5.52268043e-01  1.48996644e-01
  7.48331476e-01 -1.62099586e+02]",-293599.1688001823,20.515241499815602
367,2.7285714285714286,-0.5,"[ 2.95831982e-02  7.99968724e+00  5.52268043e-01  1.48996644e-01
  7.48331475e-01 -1.62099586e+02]",-293599.40078986797,20.283251814136747
368,2.7285714285714286,-0.44999999999999996,"[ 2.95831982e-02  7.99968724e+00  5.52268043e-01  1.48996644e-01
  7.48331475e-01 -1.62099586e+02]",-293599.65540205414,20.028639627969824
369,2.7285714285714286,-0.3999999999999999,"[ 2.95831534e-02  7.99968724e+00  5.52268050e-01  1.48996642e-01
  7.48331469e-01 -1.62099586e+02]",-293599.9343534144,19.749688267707825
370,2.7285714285714286,-0.35,"[ 2.87664754e-02  7.99968691e+00  5.52268076e-01  1.48996634e-01
  7.48368464e-01 -1.62099554e+02]",-293600.243361596,19.440680086088832
371,2.7285714285714286,-0.29999999999999993,"[ 2.85915990e-02  7.99968304e+00  5.52268041e-01  1.49005430e-01
  7.48331553e-01 -1.62099547e+02]",-293600.57891138556,19.10513029654976
372,2.7285714285714286,-0.25,"[ 2.85913772e-02  7.99968304e+00  5.52268073e-01  1.49005420e-01
  7.48331521e-01 -1.62099547e+02]",-293600.9440795638,18.73996211832855
373,2.7285714285714286,-0.19999999999999996,"[ 2.84615561e-02  7.99968158e+00  5.52261139e-01  1.48996644e-01
  7.48316290e-01 -1.62099542e+02]",-293601.34101304517,18.34302863694029
374,2.7285714285714286,-0.1499999999999999,"[ 2.78451001e-02  7.99968158e+00  5.52268050e-01  1.48997125e-01
  7.48331521e-01 -1.62099515e+02]",-293601.77388696495,17.910154717159458
375,2.7285714285714286,-0.09999999999999998,"[ 2.78404306e-02  7.99968158e+00  5.52268053e-01  1.48996640e-01
  7.48331043e-01 -1.62099514e+02]",-293602.2403816643,17.44366001780145
376,2.7285714285714286,-0.04999999999999993,"[ 2.72292604e-02  7.99968158e+00  5.52268042e-01  1.48996756e-01
  7.48331161e-01 -1.62099487e+02]",-293602.7447442114,16.939297470729798
377,2.7285714285714286,0.0,"[ 2.68514164e-02  7.99968158e+00  5.52268047e-01  1.48996644e-01
  7.48328690e-01 -1.62099469e+02]",-293603.2862607626,16.39778091950575
378,2.7285714285714286,0.050000000000000044,"[ 2.68514164e-02  7.99968158e+00  5.52268047e-01  1.48996644e-01
  7.48328690e-01 -1.62099469e+02]",-293603.8650661093,15.818975572823547
379,2.7285714285714286,0.10000000000000009,"[ 2.60214035e-02  7.99968191e+00  5.52268068e-01  1.48996644e-01
  7.48331471e-01 -1.62099423e+02]",-293604.4840337244,15.20000795769738
380,2.7285714285714286,0.15000000000000013,"[ 2.60212759e-02  7.99968191e+00  5.52268055e-01  1.48996638e-01
  7.48331452e-01 -1.62099423e+02]",-293605.1377944029,14.546247279213276
381,2.7285714285714286,0.20000000000000018,"[ 2.50162504e-02  7.99968120e+00  5.52268050e-01  1.48996653e-01
  7.48330697e-01 -1.62099367e+02]",-293605.830124987,13.853916695108637
382,2.7285714285714286,0.25,"[ 2.44064936e-02  7.99968121e+00  5.52268094e-01  1.48996634e-01
  7.48231854e-01 -1.62099332e+02]",-293606.5534683734,13.13057330873562
383,2.7285714285714286,0.30000000000000004,"[ 2.38545124e-02  7.99968139e+00  5.52267401e-01  1.48996644e-01
  7.48149890e-01 -1.62099301e+02]",-293607.3049531812,12.37908850092208
384,2.7285714285714286,0.3500000000000001,"[ 2.29475630e-02  7.99972607e+00  5.52265378e-01  1.48998048e-01
  7.44983220e-01 -1.62099143e+02]",-293608.08621097426,11.597830707847606
385,2.7285714285714286,0.40000000000000013,"[ 1.87937288e-02  7.99963194e+00  5.52272511e-01  1.48996643e-01
  6.72490875e-01 -1.62097434e+02]",-293612.6843838651,6.999657817010302
386,2.7285714285714286,0.4500000000000002,"[ 1.75823004e-02  8.00000000e+00  5.52268046e-01  1.48996644e-01
  6.70820964e-01 -1.62096581e+02]",-293613.34629417525,6.337747506855521
387,2.7285714285714286,0.5,"[ 1.63467071e-02  8.00000000e+00  5.52268042e-01  1.48996644e-01
  6.71000965e-01 -1.62096399e+02]",-293613.8926248673,5.791416814783588
388,2.7285714285714286,0.55,"[ 1.51004669e-02  8.00000000e+00  5.52267946e-01  1.48996644e-01
  6.74536491e-01 -1.62096055e+02]",-293614.32033428876,5.363707393349614
389,2.7285714285714286,0.6000000000000001,"[ 1.35658546e-02  8.00000000e+00  5.52268046e-01  1.49080263e-01
  6.74536923e-01 -1.62095882e+02]",-293614.5727984674,5.111243214691058
390,2.7285714285714286,0.6500000000000001,"[ 1.19217856e-02  8.00000000e+00  5.52268043e-01  1.49331801e-01
  6.74536863e-01 -1.62095638e+02]",-293614.59589385596,5.08814782614354
391,2.7285714285714286,0.7000000000000002,"[ 1.06759138e-02  8.00000000e+00  5.49672977e-01  1.48996643e-01
  6.77154722e-01 -1.62095382e+02]",-293614.3430748829,5.340966799180023
392,2.7285714285714286,0.75,"[ 9.06109301e-03  8.00000000e+00  5.47722556e-01  1.49330309e-01
  6.78807234e-01 -1.62095196e+02]",-293613.8392153151,5.844826366985217
393,2.7285714285714286,0.8,"[ 7.02364487e-03  8.00000000e+00  5.47722567e-01  1.49331839e-01
  6.81909085e-01 -1.62095006e+02]",-293612.9219511781,6.762090503994841
394,2.7285714285714286,0.8500000000000001,"[ 4.75839563e-03  8.00000000e+00  5.47722556e-01  1.49331779e-01
  6.81962550e-01 -1.62094924e+02]",-293611.5368986377,8.147143044392578
395,2.7285714285714286,0.9000000000000001,"[ 3.07259599e-03  8.00000000e+00  5.47718836e-01  1.49331066e-01
  6.89202431e-01 -1.62094855e+02]",-293609.6244462333,10.059595448779874
396,2.7285714285714286,0.9500000000000002,"[ 2.47457842e-03  8.00000000e+00  5.43139022e-01  1.49332459e-01
  6.92729918e-01 -1.62094897e+02]",-293607.25482932146,12.42921236064285
397,2.7285714285714286,1.0,"[ 6.49338479e-03  8.00000000e+00  5.47718704e-01  1.49331522e-01
  7.58287540e-01 -1.62095280e+02]",-293611.2653251641,8.418716518033762
398,2.7285714285714286,1.0500000000000003,"[ 4.05297970e-03  8.00000000e+00  5.47722577e-01  1.49331413e-01
  7.58287556e-01 -1.62095459e+02]",-293609.7039576287,9.98008405341534
399,2.7285714285714286,1.1,"[ 2.48238679e-03  8.00000000e+00  5.43139023e-01  1.49332563e-01
  7.58972946e-01 -1.62095718e+02]",-293607.5390345571,12.145007124985568
400,2.7285714285714286,1.15,"[-1.30266496e-04  8.00000000e+00  5.43135195e-01  1.49331845e-01
  7.61577322e-01 -1.62096198e+02]",-293604.8079220162,14.87611966591794
401,2.7285714285714286,1.2000000000000002,"[-2.28711205e-03  8.00000000e+00  5.43138924e-01  1.49666288e-01
  7.64852810e-01 -1.62096719e+02]",-293601.31950640056,18.36453528155107
402,2.7285714285714286,1.25,"[-4.21014347e-03  8.00000000e+00  5.38516509e-01  1.49666288e-01
  7.68110688e-01 -1.62097419e+02]",-293597.0460664944,22.63797518768115
403,2.7285714285714286,1.3000000000000003,"[-7.28875033e-03  8.00000000e+00  5.38452134e-01  1.49666198e-01
  7.68114574e-01 -1.62098440e+02]",-293591.8311496545,27.852892027585767
404,2.7285714285714286,1.35,"[-9.48498081e-03  8.00000000e+00  5.33853913e-01  1.49740442e-01
  7.72870301e-01 -1.62099690e+02]",-293585.62051913934,34.063522542768624
405,2.7285714285714286,1.4000000000000004,"[-1.01572235e-02  8.00000000e+00  5.33845052e-01  1.49999993e-01
  7.74595270e-01 -1.77981112e+02]",-293581.9744706307,37.70957105141133
406,2.7285714285714286,1.4500000000000002,"[-1.32894179e-02  8.00000000e+00  5.29150300e-01  1.49995519e-01
  7.74596669e-01 -1.77981252e+02]",-293574.2349839926,45.44905768951867
407,2.7285714285714286,1.5,"[-1.50907069e-02  8.00000000e+00  5.24404422e-01  1.50353550e-01
  7.78950797e-01 -1.77981331e+02]",-293565.234445249,54.44959643308539
408,2.7612244897959184,-1.0,"[ 3.01152583e-02  7.99999563e+00  5.52268047e-01  1.49212252e-01
  7.51664763e-01 -1.77978829e+02]",-293597.0201271272,22.663914554927032
409,2.7612244897959184,-0.95,"[ 3.01152583e-02  7.99999563e+00  5.52268047e-01  1.49212252e-01
  7.51664763e-01 -1.77978829e+02]",-293597.1026099568,22.58143172529526
410,2.7612244897959184,-0.9,"[ 3.01146219e-02  7.99999563e+00  5.52267983e-01  1.49212221e-01
  7.51664817e-01 -1.77978829e+02]",-293597.19423278654,22.489808895566966
411,2.7612244897959184,-0.85,"[ 3.01143710e-02  7.99999563e+00  5.52268019e-01  1.49212209e-01
  7.51664781e-01 -1.77978829e+02]",-293597.2959372283,22.388104453799315
412,2.7612244897959184,-0.8,"[ 3.01141309e-02  7.99999562e+00  5.52268041e-01  1.49212197e-01
  7.51664807e-01 -1.77978829e+02]",-293597.40874701284,22.27529466926353
413,2.7612244897959184,-0.75,"[ 3.01140542e-02  7.99999562e+00  5.52268052e-01  1.49212194e-01
  7.51664814e-01 -1.77978829e+02]",-293597.5337689287,22.150272753380705
414,2.7612244897959184,-0.7,"[ 2.99231242e-02  7.99999562e+00  5.52258887e-01  1.49193397e-01
  7.51664811e-01 -1.77978816e+02]",-293597.67269680585,22.01134487625677
415,2.7612244897959184,-0.6499999999999999,"[ 2.96868612e-02  7.99999518e+00  5.52268029e-01  1.48996644e-01
  7.51665076e-01 -1.77978795e+02]",-293597.8272693347,21.856772347411606
416,2.7612244897959184,-0.6,"[ 2.96867735e-02  7.99999518e+00  5.52268041e-01  1.48996640e-01
  7.51665063e-01 -1.77978795e+02]",-293597.99717723945,21.68686444265768
417,2.7612244897959184,-0.55,"[ 2.96822053e-02  7.99999515e+00  5.52268090e-01  1.48996667e-01
  7.51664422e-01 -1.77978794e+02]",-293598.18471627904,21.499325403070543
418,2.7612244897959184,-0.5,"[ 2.93974350e-02  7.99999514e+00  5.52268047e-01  1.48997063e-01
  7.51664810e-01 -1.77978775e+02]",-293598.3920381533,21.292003528797068
419,2.7612244897959184,-0.44999999999999996,"[ 2.93973795e-02  7.99999514e+00  5.52268041e-01  1.48997060e-01
  7.51664815e-01 -1.77978775e+02]",-293598.62005544035,21.063986241759267
420,2.7612244897959184,-0.3999999999999999,"[ 2.93972550e-02  7.99999514e+00  5.52268059e-01  1.48997054e-01
  7.51664796e-01 -1.77978775e+02]",-293598.8706609884,20.813380693725776
421,2.7612244897959184,-0.35,"[ 2.89527652e-02  7.99999506e+00  5.52268045e-01  1.48996705e-01
  7.51663651e-01 -1.77978741e+02]",-293599.1469603918,20.537081290327478
422,2.7612244897959184,-0.29999999999999993,"[ 2.89522391e-02  7.99999506e+00  5.52267993e-01  1.48996680e-01
  7.51663696e-01 -1.77978741e+02]",-293599.4491423839,20.23489929822972
423,2.7612244897959184,-0.25,"[ 2.89515925e-02  7.99999506e+00  5.52268051e-01  1.48996638e-01
  7.51663751e-01 -1.77978741e+02]",-293599.7794389777,19.904602704395074
424,2.7612244897959184,-0.19999999999999996,"[ 2.82643868e-02  7.99999506e+00  5.52268042e-01  1.48996644e-01
  7.51556029e-01 -1.77978693e+02]",-293600.1420988506,19.54194283147808
425,2.7612244897959184,-0.1499999999999999,"[ 2.82643868e-02  7.99999506e+00  5.52268042e-01  1.48996644e-01
  7.51556029e-01 -1.77978693e+02]",-293600.5363557945,19.147685887583066
426,2.7612244897959184,-0.09999999999999998,"[ 2.82642971e-02  7.99999506e+00  5.52268055e-01  1.48996640e-01
  7.51556016e-01 -1.77978693e+02]",-293600.96412843873,18.71991324337432
427,2.7612244897959184,-0.04999999999999993,"[ 2.61435099e-02  8.00000000e+00  5.52268044e-01  1.48996643e-01
  6.74536905e-01 -1.77978461e+02]",-293602.9319454249,16.752096257230733
428,2.7612244897959184,0.0,"[ 2.61434130e-02  8.00000000e+00  5.52268058e-01  1.48996639e-01
  6.74536898e-01 -1.77978461e+02]",-293603.5810784142,16.10296326788375
429,2.7612244897959184,0.050000000000000044,"[ 2.51418774e-02  8.00000000e+00  5.52268050e-01  1.48996862e-01
  6.74536868e-01 -1.77978277e+02]",-293604.27198014595,15.412061536160763
430,2.7612244897959184,0.10000000000000009,"[ 2.45437778e-02  8.00000000e+00  5.52268050e-01  1.48996547e-01
  6.74536726e-01 -1.77978170e+02]",-293604.9978361029,14.68620557920076
431,2.7612244897959184,0.15000000000000013,"[ 2.39088190e-02  8.00000000e+00  5.52268050e-01  1.48996796e-01
  6.74536862e-01 -1.77978051e+02]",-293605.7567141968,13.927327485289425
432,2.7612244897959184,0.20000000000000018,"[ 2.32197235e-02  8.00000000e+00  5.52268050e-01  1.48996643e-01
  6.74536827e-01 -1.77977921e+02]",-293606.54341937625,13.140622305858415
433,2.7612244897959184,0.25,"[ 2.32194697e-02  8.00000000e+00  5.52268025e-01  1.48996631e-01
  6.74536868e-01 -1.77977921e+02]",-293607.3468526055,12.337189076584764
434,2.7612244897959184,0.30000000000000004,"[ 2.15919595e-02  8.00000000e+00  5.52268051e-01  1.48996643e-01
  6.74536834e-01 -1.77977605e+02]",-293608.1691783259,11.5148633561912
435,2.7612244897959184,0.3500000000000001,"[ 2.15914144e-02  8.00000000e+00  5.52267996e-01  1.48996617e-01
  6.74536922e-01 -1.77977605e+02]",-293608.98050163104,10.70354005106492
436,2.7612244897959184,0.40000000000000013,"[ 1.96456908e-02  8.00000000e+00  5.52268057e-01  1.48997341e-01
  6.74536875e-01 -1.77977230e+02]",-293609.7852880767,9.89875360543374
437,2.7612244897959184,0.4500000000000002,"[ 1.85477320e-02  8.00000000e+00  5.52268028e-01  1.48996644e-01
  6.74536653e-01 -1.77977025e+02]",-293610.5466783769,9.13736330519896
438,2.7612244897959184,0.5,"[ 1.72995895e-02  8.00000000e+00  5.52268032e-01  1.48996731e-01
  6.74536877e-01 -1.77976797e+02]",-293611.2449653771,8.439076305017807
439,2.7612244897959184,0.55,"[ 1.59635162e-02  8.00000000e+00  5.52268047e-01  1.48996641e-01
  6.74576724e-01 -1.77976551e+02]",-293611.8487704379,7.835271244228352
440,2.7612244897959184,0.6000000000000001,"[ 1.42885004e-02  8.00000000e+00  5.52268057e-01  1.48996644e-01
  6.74621781e-01 -1.77976230e+02]",-293612.32070856343,7.363333118672017
441,2.7612244897959184,0.6500000000000001,"[ 1.31303499e-02  8.00000000e+00  5.52264257e-01  1.49014670e-01
  6.78232992e-01 -1.77975821e+02]",-293612.6379843723,7.0460573097807355
442,2.7612244897959184,0.7000000000000002,"[ 1.14162635e-02  8.00000000e+00  5.52268042e-01  1.49331640e-01
  6.78231988e-01 -1.77975510e+02]",-293612.74089107395,6.943150608160067
443,2.7612244897959184,0.75,"[ 9.66868477e-03  8.00000000e+00  5.51955695e-01  1.49331836e-01
  6.78341859e-01 -1.77975186e+02]",-293612.55850369023,7.125537991872989
444,2.7612244897959184,0.8,"[ 8.30071382e-03  8.00000000e+00  5.47723990e-01  1.49331838e-01
  6.81909206e-01 -1.77974716e+02]",-293612.14008402097,7.5439576611388475
445,2.7612244897959184,0.8500000000000001,"[ 6.07453504e-03  8.00000000e+00  5.47722552e-01  1.49331834e-01
  6.82259477e-01 -1.77974347e+02]",-293611.3100179224,8.374023759679403
446,2.7612244897959184,0.9000000000000001,"[ 4.54864377e-03  8.00000000e+00  5.47722554e-01  1.49331844e-01
  6.89202604e-01 -1.77973663e+02]",-293610.06303553033,9.621006151777692
447,2.7612244897959184,0.9500000000000002,"[ 9.55520519e-03  8.00000000e+00  5.47723764e-01  1.49331663e-01
  7.54983434e-01 -1.77972242e+02]",-293612.9594039939,6.7246376881957985
448,2.7612244897959184,1.0,"[ 7.48740451e-03  8.00000000e+00  5.47722573e-01  1.49330547e-01
  7.54983441e-01 -1.77972124e+02]",-293612.4048054627,7.279236219415907
449,2.7612244897959184,1.0500000000000003,"[ 5.60310656e-03  8.00000000e+00  5.47741764e-01  1.49450244e-01
  7.58287535e-01 -1.77972003e+02]",-293611.4271210571,8.256920624990016
450,2.7612244897959184,1.1,"[ 3.36684401e-03  8.00000000e+00  5.47722549e-01  1.49333180e-01
  7.58281251e-01 -1.77971875e+02]",-293609.98507219733,9.698969484772533
451,2.7612244897959184,1.15,"[ 1.78338124e-03  8.00000000e+00  5.43139025e-01  1.49341945e-01
  7.61577147e-01 -1.77971754e+02]",-293607.9593406934,11.724700988736004
452,2.7612244897959184,1.2000000000000002,"[-8.52286313e-04  8.00000000e+00  5.43139251e-01  1.49331844e-01
  7.61752355e-01 -1.77971651e+02]",-293605.3752298171,14.308811864990275
453,2.7612244897959184,1.25,"[-3.25096228e-03  8.00000000e+00  5.43138685e-01  1.49666132e-01
  7.64852925e-01 -1.77971552e+02]",-293602.0716157512,17.61242593091447
454,2.7612244897959184,1.3000000000000003,"[-5.08549657e-03  8.00000000e+00  5.38490040e-01  1.49714229e-01
  7.68114570e-01 -1.77971492e+02]",-293598.00634983624,21.677691845863592
455,2.7612244897959184,1.35,"[-8.16444492e-03  8.00000000e+00  5.38516296e-01  1.49666290e-01
  7.69274432e-01 -1.77971326e+02]",-293592.9817205274,26.702321154705714
456,2.7612244897959184,1.4000000000000004,"[-1.03362032e-02  8.00000000e+00  5.33853909e-01  1.49719199e-01
  7.71362429e-01 -1.77971310e+02]",-293587.0651335505,32.61890813161153
457,2.7612244897959184,1.4500000000000002,"[-1.25394753e-02  8.00000000e+00  5.29150299e-01  1.50000006e-01
  7.74596647e-01 -1.77971261e+02]",-293580.06630109646,39.61774058564333
458,2.7612244897959184,1.5,"[-1.56452679e-02  8.00000000e+00  5.29150277e-01  1.49999999e-01
  7.77817349e-01 -1.77971320e+02]",-293571.87417926785,47.80986241425853
459,2.793877551020408,-1.0,"[ 3.11816846e-02  7.99999977e+00  5.52268044e-01  1.49341654e-01
  7.51666442e-01 -1.77968961e+02]",-293596.96007346036,22.723968221747782
460,2.793877551020408,-0.95,"[ 3.02855171e-02  7.99999977e+00  5.52265108e-01  1.49292431e-01
  7.51619277e-01 -1.77968901e+02]",-293597.04516962264,22.638872059469577
461,2.793877551020408,-0.9,"[ 3.00523496e-02  7.99999860e+00  5.52268042e-01  1.49284139e-01
  7.51664816e-01 -1.77968885e+02]",-293597.13185858325,22.552183098858222
