,bkg_norm,signal_norm,alpha,beta,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,6.487921120948323e-07,0.00039448841704218694,2.000643773377063,0.5148103212998727,-inf,0.0,0.0,0.3333333333333333,0.6666666666666666,0,-211688.8381055734,1.2045784387737513e-06,-6.17092597407396,-6.17092597407396
1,8.734782704475503e-07,0.00045563315073335645,2.000743491246754,0.5147718994546746,-inf,0.0,0.10101010101010101,0.3333333333333333,0.6666666666666666,0,-211688.83810522436,1.5536206774413586e-06,-6.17092597407396,-6.069915873063859
2,1.1447546043445113e-06,0.0005182833870561643,2.000851365810786,0.5147241297493739,-inf,0.0,0.20202020202020202,0.3333333333333333,0.6666666666666666,0,-211688.8381046941,2.0838924683630466e-06,-6.17092597407396,-5.968905772053757
3,1.049204350583999e-06,0.0006158446358502681,2.0010080752659887,0.5146638232880864,-inf,0.0,0.30303030303030304,0.3333333333333333,0.6666666666666666,0,-211688.83810395235,2.825632691383362e-06,-6.17092597407396,-5.867895671043657
4,1.1771728173995682e-06,0.000738573088624077,2.0012205096617235,0.5145749316673539,-inf,0.0,0.40404040404040403,0.3333333333333333,0.6666666666666666,0,-211688.83810281486,3.963126800954342e-06,-6.17092597407396,-5.766885570033555
5,1.5391717352314277e-06,0.0008674613672435637,2.001412873089259,0.514503738646465,-inf,0.0,0.5050505050505051,0.3333333333333333,0.6666666666666666,0,-211688.83810114718,5.63080538995564e-06,-6.17092597407396,-5.6658754690234545
6,1.7119643046089872e-06,0.0010430427279219585,2.001706747677261,0.5143804870886326,-inf,0.0,0.6060606060606061,0.3333333333333333,0.6666666666666666,0,-211688.83809861128,8.166709449142218e-06,-6.17092597407396,-5.564865368013354
7,1.4546653890157963e-06,0.0013013152508394457,2.002171075711869,0.5141801772224969,-inf,0.0,0.7070707070707071,0.3333333333333333,0.6666666666666666,0,-211688.838094594,1.2183998478576541e-05,-6.17092597407396,-5.463855267003252
8,2.9577694942356746e-06,0.0015538455856608788,2.0025393537010925,0.5140455582412247,-inf,0.0,0.8080808080808081,0.3333333333333333,0.6666666666666666,0,-211688.83808887273,1.790525857359171e-05,-6.17092597407396,-5.362845165993152
9,4.439678961119812e-06,0.0018756643389012029,2.003042787205608,0.5138474409612492,-inf,0.0,0.9090909090909091,0.3333333333333333,0.6666666666666666,0,-211688.8380795675,2.7210480766370893e-05,-6.17092597407396,-5.261835064983051
10,-3.7953533641355845e-06,0.00292849702689278,2.0056155423326607,0.5125188881734842,-inf,0.0,1.0101010101010102,0.3333333333333333,0.6666666666666666,0,-211688.83799772264,0.0001090553414542228,-6.17092597407396,-5.160824963972949
11,1.3344534727666545e-06,0.0032117780623480926,2.0056569327815574,0.5126483169628543,-inf,0.0,1.1111111111111112,0.3333333333333333,0.6666666666666666,0,-211688.83802779915,7.89788318797946e-05,-6.17092597407396,-5.059814862962849
12,7.84312220766027e-06,0.003563493780846778,2.0057065478391096,0.5128106004916464,-inf,0.0,1.2121212121212122,0.3333333333333333,0.6666666666666666,0,-211688.8380092521,9.75258881226182e-05,-6.17092597407396,-4.958804761952747
13,8.546406004055768e-06,0.004553025148158358,2.007442480693493,0.5120707252882774,-inf,0.0,1.3131313131313131,0.3333333333333333,0.6666666666666666,0,-211688.8379590859,0.0001476920733693987,-6.17092597407396,-4.857794660942647
14,1.0790791709985404e-05,0.005659914304210572,2.0092332107649824,0.5113494297919551,-inf,0.0,1.4141414141414141,0.3333333333333333,0.6666666666666666,0,-211688.8378794982,0.00022727978648617864,-6.17092597407396,-4.756784559932546
15,1.2959838603725796e-05,0.0070742490940593145,2.0115193307974435,0.5104344503396151,-inf,0.0,1.5151515151515151,0.3333333333333333,0.6666666666666666,0,-211688.83775733376,0.0003494442207738757,-6.17092597407396,-4.655774458922444
16,1.563306568234574e-05,0.008874093577402542,2.0144575846244095,0.5092487629885012,-inf,0.0,1.6161616161616161,0.3333333333333333,0.6666666666666666,0,-211688.83757107946,0.0005356985202524811,-6.17092597407396,-4.554764357912344
17,1.9685498688096923e-05,0.01108939091790075,2.0180232849959263,0.5078252307365416,-inf,0.0,1.7171717171717171,0.3333333333333333,0.6666666666666666,0,-211688.83728943983,0.0008173381502274424,-6.17092597407396,-4.4537542569022435
18,2.3770590702971984e-05,0.013864114626163849,2.0224617074540783,0.5060621651095311,-inf,0.0,1.8181818181818181,0.3333333333333333,0.6666666666666666,0,-211688.83686857653,0.0012382014538161457,-6.17092597407396,-4.352744155892141
19,2.9196629800371376e-05,0.01733406526631607,2.0279955340237237,0.5038723498621946,-inf,0.0,1.9191919191919191,0.3333333333333333,0.6666666666666666,0,-211688.8362492753,0.001857502677012235,-6.17092597407396,-4.251734054882041
20,3.523882357004414e-05,0.021632588352522013,2.0347811132425817,0.501206612702081,-inf,0.0,2.0202020202020203,0.3333333333333333,0.6666666666666666,0,-211688.83535606862,0.0027507093618623912,-6.17092597407396,-4.150723953871939
21,4.222479780602096e-05,0.02695632983417299,2.04311324034896,0.49795512400648706,-inf,0.0,2.121212121212121,0.3333333333333333,0.6666666666666666,0,-211688.83410142045,0.004005357535788789,-6.17092597407396,-4.049713852861839
22,5.0641597998263e-05,0.033477454053685324,2.0532558736403823,0.49399640652570614,-inf,0.0,2.2222222222222223,0.3333333333333333,0.6666666666666666,0,-211688.83239881802,0.005707959964638576,-6.17092597407396,-3.9487037518517383
23,5.771731833780181e-05,0.04152669233648443,2.065456888695117,0.4893727689501616,-inf,0.0,2.323232323232323,0.3333333333333333,0.6666666666666666,0,-211688.83019725909,0.007909518899396062,-6.17092597407396,-3.847693650841636
24,6.542996315565738e-05,0.05124404288979839,2.0799373100238867,0.4839407694521023,-inf,0.0,2.4242424242424243,0.3333333333333333,0.6666666666666666,0,-211688.8275267433,0.010580034693703055,-6.17092597407396,-3.746683549831536
