,GAMMA,gamma,x_vals,llh,delta_llh
30,0.0,3.46,"[-1.52563479e-03 -2.91779239e-02  5.52267794e-01  1.49331836e-01
  6.70820457e-01 -1.29966979e+02]",-293619.4397931609,1.9009464064147323
31,0.0,3.492,"[-1.52747038e-03 -2.91812623e-02  5.52268066e-01  1.49331747e-01
  6.70820335e-01 -1.29966979e+02]",-293618.96832431166,2.3724152556387708
32,0.0,3.524,"[-8.78301421e-04 -4.60505098e-02  5.52268047e-01  1.49320939e-01
  6.70861152e-01 -1.29967196e+02]",-293618.47431552084,2.866424046456814
33,0.0,3.556,"[-1.20765304e-03 -4.65917365e-02  5.52267244e-01  1.49331825e-01
  6.70820390e-01 -1.29967196e+02]",-293617.93541110575,3.4053284615511075
34,0.0,3.588,"[-1.20945848e-03 -4.66021878e-02  5.52268058e-01  1.49331778e-01
  6.70821231e-01 -1.29967196e+02]",-293617.352740765,3.9879988022730686
35,0.0,3.62,"[-1.85529126e-03 -5.12127309e-02  5.52277072e-01  1.49331837e-01
  6.70786226e-01 -1.29967186e+02]",-293616.7412619626,4.599477604671847
36,0.0,3.6519999999999997,"[ 1.19632548e-03 -9.28375639e-02  5.52267977e-01  1.49331838e-01
  6.70820424e-01 -1.29966068e+02]",-293616.2071951839,5.133544383395929
37,0.0,3.6839999999999997,"[ 1.65790403e-03 -1.07106926e-01  5.52269200e-01  1.49331843e-01
  6.70820389e-01 -1.29965930e+02]",-293615.6020322782,5.738707289099693
38,0.0,3.7159999999999997,"[ 1.18207669e-03 -1.08130225e-01  5.52265683e-01  1.49331840e-01
  6.70819647e-01 -1.29965930e+02]",-293614.9738016317,6.366937935585156
39,0.0,3.7479999999999998,"[ 3.08251722e-03 -1.43821023e-01  5.52261094e-01  1.49331845e-01
  6.70862037e-01 -1.29966034e+02]",-293614.380914527,6.959825040306896
40,0.0,3.78,"[ 3.88595955e-03 -1.62007946e-01  5.52267053e-01  1.49331842e-01
  6.70820374e-01 -1.29966033e+02]",-293613.77561504,7.565124527318403
41,0.0,3.812,"[ 4.65084176e-03 -1.82260442e-01  5.52268043e-01  1.49331827e-01
  6.70820463e-01 -1.29966060e+02]",-293613.17706856155,8.163671005750075
42,0.0,3.8439999999999994,"[ 4.64907865e-03 -1.82263632e-01  5.52267864e-01  1.49331916e-01
  6.70820339e-01 -1.29966060e+02]",-293612.56176074536,8.778978821937926
43,0.0,3.8759999999999994,"[ 6.24359465e-03 -2.26961467e-01  5.52268062e-01  1.49331842e-01
  6.70822283e-01 -1.29941376e+02]",-293612.0156378741,9.32510169321904
44,0.0,3.9079999999999995,"[ 7.05248261e-03 -2.50428489e-01  5.52268050e-01  1.49323951e-01
  6.70825543e-01 -1.29940961e+02]",-293611.45776133466,9.88297823263565
45,0.0,3.9399999999999995,"[ 7.87465765e-03 -2.75331018e-01  5.52268041e-01  1.49331513e-01
  6.70821183e-01 -1.29941476e+02]",-293610.91792752506,10.422812042234
46,0.0,3.9719999999999995,"[ 8.62312398e-03 -3.00604346e-01  5.52267477e-01  1.49331843e-01
  6.70821048e-01 -1.29941415e+02]",-293610.3972065795,10.943532987788785
47,0.0,4.004,"[ 8.01766652e-03 -3.01621798e-01  5.52267156e-01  1.49319985e-01
  6.70820384e-01 -1.29941412e+02]",-293609.86706099904,11.473678568261676
48,0.0,4.036,"[ 1.01964292e-02 -3.54059359e-01  5.52268033e-01  1.49325597e-01
  6.70820390e-01 -1.29955590e+02]",-293609.4169998262,11.923739741090685
49,0.0,4.068,"[ 1.01961184e-02 -3.54059866e-01  5.52268079e-01  1.49325612e-01
  6.70820442e-01 -1.29955590e+02]",-293608.92621187284,12.414527694461867
50,0.0,4.1,"[ 1.16987320e-02 -4.10079013e-01  5.52267738e-01  1.49331722e-01
  6.70820393e-01 -1.29955939e+02]",-293608.5211938239,12.819545743404888
51,0.16326530612244897,2.5,"[ 1.90180709e-02 -7.85772468e-01  5.51979397e-01  1.49331836e-01
  6.70825078e-01 -1.29953033e+02]",-293612.51591946994,8.824820097361226
52,0.16326530612244897,2.532,"[ 1.77769501e-02 -7.30788142e-01  5.52268033e-01  1.49331824e-01
  6.70820385e-01 -1.29953146e+02]",-293613.0622510744,8.278488492884208
53,0.16326530612244897,2.564,"[ 1.71112749e-02 -6.78039123e-01  5.52268039e-01  1.49331836e-01
  6.70820648e-01 -1.29953151e+02]",-293613.6063295801,7.734409987169784
54,0.16326530612244897,2.596,"[ 1.61659857e-02 -6.27818740e-01  5.52268043e-01  1.49201138e-01
  6.70817179e-01 -1.29955853e+02]",-293614.151723013,7.189016554271802
55,0.16326530612244897,2.628,"[ 1.53995634e-02 -5.79781666e-01  5.52268042e-01  1.49181787e-01
  6.70821357e-01 -1.29961289e+02]",-293614.6981471812,6.642592386109754
56,0.16326530612244897,2.66,"[ 1.54529562e-02 -5.38886567e-01  5.52268042e-01  1.49331318e-01
  6.70820503e-01 -1.29961358e+02]",-293615.23873767746,6.102001889841631
57,0.16326530612244897,2.692,"[ 1.36609326e-02 -4.89334266e-01  5.52268044e-01  1.49324692e-01
  6.70822382e-01 -1.29961393e+02]",-293615.7855979762,5.555141591117717
58,0.16326530612244897,2.7239999999999998,"[ 1.27435326e-02 -4.47238604e-01  5.52267986e-01  1.49331542e-01
  6.70820410e-01 -1.29974593e+02]",-293616.32184075477,5.018898812530097
59,0.16326530612244897,2.756,"[ 1.18883614e-02 -4.07738270e-01  5.52267938e-01  1.49331840e-01
  6.70924409e-01 -1.29974586e+02]",-293616.8479218329,4.492817734426353
60,0.16326530612244897,2.788,"[ 1.09395088e-02 -3.68237112e-01  5.52268044e-01  1.49304377e-01
  6.70818568e-01 -1.29974585e+02]",-293617.3664622919,3.97427727538161
61,0.16326530612244897,2.82,"[ 1.18722533e-02 -3.65980086e-01  5.52268039e-01  1.49331748e-01
  6.70820392e-01 -1.29974585e+02]",-293617.8003823014,3.540357265912462
62,0.16326530612244897,2.852,"[ 9.26727889e-03 -3.00652530e-01  5.52268042e-01  1.49229353e-01
  6.70851047e-01 -1.29974753e+02]",-293618.3519123107,2.988827256602235
63,0.16326530612244897,2.884,"[ 1.01058863e-02 -2.98640682e-01  5.52268053e-01  1.49293871e-01
  6.70819964e-01 -1.29974753e+02]",-293618.7448892242,2.5958503431174904
64,0.16326530612244897,2.916,"[ 7.01760340e-03 -2.34872818e-01  5.52268044e-01  1.49331794e-01
  6.70825178e-01 -1.29974863e+02]",-293619.253339917,2.0873996503069066
65,0.16326530612244897,2.948,"[ 7.79033141e-03 -2.33030384e-01  5.52268043e-01  1.49330268e-01
  6.70834140e-01 -1.29974863e+02]",-293619.61278820893,1.727951358363498
66,0.16326530612244897,2.98,"[ 6.36667141e-03 -2.29476676e-01  5.52268049e-01  1.49328249e-01
  6.70796818e-01 -1.29974881e+02]",-293619.8678864115,1.4728531558066607
67,0.16326530612244897,3.012,"[ 4.28435310e-03 -1.56541200e-01  5.52268018e-01  1.49306788e-01
  6.70820459e-01 -1.29975084e+02]",-293620.36625892424,0.9744806430535391
68,0.16326530612244897,3.044,"[ 3.60754218e-03 -1.34543731e-01  5.52268043e-01  1.49331169e-01
  6.70820856e-01 -1.29975067e+02]",-293620.65687861555,0.6838609517435543
69,0.16326530612244897,3.0759999999999996,"[ 2.69159795e-03 -1.14860735e-01  5.52268040e-01  1.49286484e-01
  6.70820391e-01 -1.29975067e+02]",-293620.90064417996,0.44009538734098896
70,0.16326530612244897,3.1079999999999997,"[ 2.69178365e-03 -1.14860341e-01  5.52268067e-01  1.49286494e-01
  6.70820378e-01 -1.29975067e+02]",-293621.0682271172,0.2725124501157552
71,0.16326530612244897,3.1399999999999997,"[ 1.14001250e-03 -8.07192498e-02  5.52268035e-01  1.49331814e-01
  6.70820471e-01 -1.29972008e+02]",-293621.23345761123,0.10728195606498048
72,0.16326530612244897,3.1719999999999997,"[ 5.11664577e-04 -6.70917941e-02  5.52255198e-01  1.49318997e-01
  6.70820393e-01 -1.29972045e+02]",-293621.3161818686,0.02455769869266078
73,0.16326530612244897,3.2039999999999997,"[ 6.84763785e-04 -6.67510948e-02  5.52264840e-01  1.49330293e-01
  6.70820454e-01 -1.29972045e+02]",-293621.3303076464,0.010431920876726508
74,0.16326530612244897,3.2359999999999998,"[-6.51532260e-04 -4.59624551e-02  5.52268018e-01  1.49331838e-01
  6.70826998e-01 -1.29972045e+02]",-293621.30544715736,0.03529240994248539
75,0.16326530612244897,3.268,"[-4.07885877e-04 -4.56090653e-02  5.52267071e-01  1.49331839e-01
  6.70829881e-01 -1.29972045e+02]",-293621.20540884713,0.13533072016434744
76,0.16326530612244897,3.3,"[-5.59270704e-04 -3.97930936e-02  5.52270146e-01  1.49331844e-01
  6.70869892e-01 -1.29972045e+02]",-293621.0493170632,0.29142250411678106
77,0.16326530612244897,3.332,"[-1.08822226e-03 -3.89197335e-02  5.52223668e-01  1.49307087e-01
  6.70820388e-01 -1.29972045e+02]",-293620.83150632627,0.5092332410276867
78,0.16326530612244897,3.364,"[-5.30532595e-04 -3.78207066e-02  5.52269655e-01  1.49331842e-01
  6.70821603e-01 -1.29972048e+02]",-293620.56002937484,0.7807101924554445
79,0.16326530612244897,3.396,"[-1.12579992e-03 -3.69604081e-02  5.52268045e-01  1.49293895e-01
  6.70821535e-01 -1.29972048e+02]",-293620.237660317,1.1030792503152043
80,0.16326530612244897,3.428,"[-1.11360292e-03 -3.69402100e-02  5.52268043e-01  1.49295003e-01
  6.70820351e-01 -1.29972048e+02]",-293619.8654119749,1.4753275924012996
81,0.16326530612244897,3.46,"[-1.11389893e-03 -3.69398882e-02  5.52267986e-01  1.49295031e-01
  6.70820444e-01 -1.29972048e+02]",-293619.44717793935,1.8935616279486567
82,0.16326530612244897,3.492,"[-1.11454510e-03 -3.69401474e-02  5.52268043e-01  1.49295070e-01
  6.70820372e-01 -1.29972048e+02]",-293618.98418795445,2.3565516128437594
83,0.16326530612244897,3.524,"[-1.50012907e-03 -3.76541353e-02  5.52268000e-01  1.49331844e-01
  6.70820416e-01 -1.29972047e+02]",-293618.47841060994,2.862328957358841
84,0.16326530612244897,3.556,"[-1.92870651e-03 -3.86475752e-02  5.52268200e-01  1.49331835e-01
  6.70816229e-01 -1.29972047e+02]",-293617.92932446586,3.4114151014364325
85,0.16326530612244897,3.588,"[-6.95275359e-04 -4.12519850e-02  5.52268044e-01  1.49328168e-01
  6.70820391e-01 -1.29972048e+02]",-293617.34232349036,3.998416076938156
86,0.16326530612244897,3.62,"[ 4.71532880e-04 -7.76492591e-02  5.52268043e-01  1.49331052e-01
  6.70819263e-01 -1.29972081e+02]",-293616.8135144411,4.52722512622131
