,GAMMA,x_vals,llh,delta_llh
19,0.5083612040133779,[-1.53537553e-06 -5.50565470e-02  3.20255851e+00],-293621.34105999285,9.468069765716791e-05
20,0.5351170568561873,[-1.56516110e-06 -5.48780177e-02  3.20267533e+00],-293621.3410464049,0.00010826863581314683
21,0.5618729096989966,[-3.88655282e-06 -5.46789746e-02  3.20304603e+00],-293621.3410324148,0.0001222587306983769
22,0.588628762541806,[-3.93553547e-06 -5.45283698e-02  3.20326954e+00],-293621.3410154966,0.00013917696196585894
23,0.6153846153846154,[-2.28796405e-06 -5.43831027e-02  3.20339414e+00],-293621.34099651343,0.00015816011000424623
24,0.6421404682274248,[-1.75051277e-06 -5.42288992e-02  3.20344821e+00],-293621.34097399673,0.00018067681230604649
25,0.6688963210702341,[-3.66657023e-06 -5.40213894e-02  3.20379377e+00],-293621.3409505622,0.0002041113330051303
26,0.6956521739130435,[-1.88165140e-06 -5.37782589e-02  3.20411050e+00],-293621.34092330176,0.0002313717850483954
27,0.7224080267558528,[-5.02348071e-06 -5.35354038e-02  3.20439163e+00],-293621.3408923332,0.00026234035613015294
28,0.7491638795986622,[-5.30946315e-06 -5.33205639e-02  3.20465556e+00],-293621.3408573044,0.0002973691443912685
29,0.7759197324414716,[-9.36998897e-06 -5.30151977e-02  3.20486439e+00],-293621.3408171354,0.0003375381347723305
30,0.802675585284281,[-6.09597013e-06 -5.28010082e-02  3.20524480e+00],-293621.340773058,0.00038161553675308824
31,0.8294314381270903,[-1.09555702e-05 -5.25027672e-02  3.20543748e+00],-293621.340721543,0.0004331305390223861
32,0.8561872909698997,[-1.12648132e-05 -5.21248873e-02  3.20608127e+00],-293621.34066493955,0.0004897339968010783
33,0.882943143812709,[-8.76286269e-06 -5.18766080e-02  3.20618452e+00],-293621.3406003969,0.000554276630282402
34,0.9096989966555183,[-7.67031308e-06 -5.15693536e-02  3.20671145e+00],-293621.3405285499,0.000626123626716435
35,0.9364548494983277,[-7.84435377e-06 -5.12095252e-02  3.20711771e+00],-293621.34044651163,0.0007081619114615023
36,0.9632107023411371,[-8.15800734e-06 -5.08222286e-02  3.20758398e+00],-293621.3403539305,0.0008007430587895215
37,0.9899665551839465,[-9.01313600e-06 -5.04034464e-02  3.20804902e+00],-293621.3402494097,0.000905263819731772
38,1.0167224080267558,[-6.86752659e-06 -5.00248178e-02  3.20848299e+00],-293621.3401311954,0.0010234781657345593
39,1.0434782608695652,[-9.46304566e-06 -4.95326851e-02  3.20912397e+00],-293621.3399983942,0.0011562793515622616
40,1.0702341137123745,[-9.82800286e-06 -4.90321774e-02  3.20969960e+00],-293621.33984831173,0.0013063618098385632
41,1.0969899665551839,[-1.01490459e-05 -4.85277103e-02  3.21030239e+00],-293621.33967897535,0.0014756981981918216
42,1.1237458193979932,[-1.14543190e-05 -4.79658242e-02  3.21091137e+00],-293621.33948801766,0.0016666558803990483
43,1.1505016722408026,[-1.09482462e-05 -4.73920529e-02  3.21157282e+00],-293621.3392726643,0.001882009266410023
44,1.177257525083612,[-1.38651126e-05 -4.67363808e-02  3.21239912e+00],-293621.33903006307,0.0021246104734018445
45,1.2040133779264215,[-1.27045609e-05 -4.61204953e-02  3.21313372e+00],-293621.33875657123,0.0023981023114174604
46,1.2307692307692308,[-1.25999800e-05 -4.54305485e-02  3.21392343e+00],-293621.3384483783,0.002706295228563249
