,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,3.9062499999999997e-07,0.0,3.2,-inf,-2.0,-2.0,0.3333333333333333,0.6666666666666666,0.0,-293621.3411614518,0.0,-8.17092597407396,-8.17092597407396
1,4.90220609415278e-07,4.902206094152782e-07,3.2,-inf,-2.0,-1.898989898989899,0.3333333333333333,0.6666666666666666,0.0,-293621.3411614508,1.0477378964424133e-09,-8.17092597407396,-8.06991587306386
2,7.812499999999999e-07,3.906250000000001e-07,3.2,-inf,-2.0,-1.797979797979798,0.3333333333333333,0.6666666666666666,0.0,-293621.3411614483,3.550667315721512e-09,-8.17092597407396,-7.968905772053758
3,6.484068519951479e-07,2.829530759384576e-08,3.2000000282953076,-inf,-2.0,-1.696969696969697,0.3333333333333333,0.6666666666666666,0.0,-293621.3411614456,6.2282197177410126e-09,-8.17092597407396,-7.867895671043658
4,7.812499999999999e-07,3.906250000000001e-07,3.2,-inf,-2.0,-1.595959595959596,0.3333333333333333,0.6666666666666666,0.0,-293621.34116144176,1.0069925338029861e-08,-8.17092597407396,-7.766885570033557
5,7.6172103877261e-07,4.68740844908859e-08,3.200000046874085,-inf,-2.0,-1.4949494949494948,0.33333335677037557,0.6666666432296244,0.0,-293621.34116143506,1.6763806343078613e-08,-8.17092597407396,-7.665875469023455
6,4.912539764116129e-07,4.92601654377873e-06,3.1999986421442896,-inf,-2.0,-1.393939393939394,0.3333340122611886,0.6666659877388114,0.0,-293621.3411614307,2.112938091158867e-08,-8.17092597407396,-7.564865368013355
7,1.8437151042938992e-06,2.2924613987149872e-05,3.200015022281594,-inf,-2.0,-1.2929292929292928,0.3333468531754532,0.6666531468245466,0.0,-293621.3411614257,2.6135239750146866e-08,-8.17092597407396,-7.463855267003253
8,9.155462518576288e-07,9.48318943147709e-06,3.2000004378077556,-inf,-2.0,-1.191919191919192,0.33333422335208385,0.6666657766479162,0.0,-293621.3411614072,4.46452759206295e-08,-8.17092597407396,-7.362845165993153
9,9.710738467420874e-07,7.199792410222218e-06,3.2000158014800633,-inf,-2.0,-1.0909090909090908,0.33331619773579996,0.6666838022642,0.0,-293621.3411614024,4.941830411553383e-08,-8.17092597407396,-7.261835064983051
