,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,-1.0235770414654335e-06,0.000715107245416232,3.200815318410556,-inf,0.0,0.0,0.33371645833816993,0.6662835416618301,0.0,-293621.34115184273,0.0,-6.17092597407396,-6.17092597407396
1,-1.317445111073446e-06,0.0007858931107933495,3.2008979100565296,-inf,0.0,0.06060606060606061,0.33395239152598705,0.6660476084740129,0.0,-293621.3411502511,1.5916302800178528e-06,-6.17092597407396,-6.110319913467899
2,-1.5100685524416773e-06,0.000841326435790675,3.200976247410394,-inf,0.0,0.12121212121212122,0.33373164357166496,0.666268356428335,0.0,-293621.3411482655,3.577210009098053e-06,-6.17092597407396,-6.049713852861839
3,-1.4731369083645509e-06,0.0008789535604517334,3.2010575605188083,-inf,0.0,0.18181818181818182,0.33306634291309467,0.6669336570869053,0.0,-293621.3411457802,6.062502507120371e-06,-6.17092597407396,-5.989107792255778
4,-1.7202019012019406e-06,0.0009641851420468692,3.201158161612243,-inf,0.0,0.24242424242424243,0.3329928813269622,0.6670071186730379,0.0,-293621.34114267427,9.168463293462992e-06,-6.17092597407396,-5.9285017316497175
5,-1.1789164280328614e-06,0.0011281457183094277,3.2012444136228515,-inf,0.0,0.30303030303030304,0.33467429951766725,0.6653257004823327,0.0,-293621.34113876114,1.3081589713692665e-05,-6.17092597407396,-5.867895671043657
6,-1.5207294237709383e-06,0.0012162264184666747,3.201376122982111,-inf,0.0,0.36363636363636365,0.3341746171439197,0.6658253828560804,0.0,-293621.3411338032,1.803954364731908e-05,-6.17092597407396,-5.807289610437596
7,-2.69896389350286e-06,0.001306770802380803,3.201565058627301,-inf,0.0,0.42424242424242425,0.3327694507542524,0.6672305492457475,0.0,-293621.34112750937,2.433336339890957e-05,-6.17092597407396,-5.746683549831536
8,-2.3496206919535013e-06,0.0015182849076068087,3.2017219827771055,-inf,0.0,0.48484848484848486,0.3344602567962643,0.6655397432037358,0.0,-293621.34111954155,3.230117727071047e-05,-6.17092597407396,-5.686077489225475
9,-2.5824190290770164e-06,0.001594655953932067,3.201935197081749,-inf,0.0,0.5454545454545454,0.33246793990079493,0.6675320600992052,0.0,-293621.34110925836,4.2584375478327274e-05,-6.17092597407396,-5.625471428619415
10,-2.6426903198307875e-06,0.0018282087553189996,3.2021553928600275,-inf,0.0,0.6060606060606061,0.3331716528741373,0.6668283471258627,0.0,-293621.3410961855,5.565723404288292e-05,-6.17092597407396,-5.564865368013354
11,-3.84611077257348e-06,0.002021381217889687,3.202438742967079,-inf,0.0,0.6666666666666667,0.33213498410829656,0.6678650158917034,0.0,-293621.341079307,7.253570947796106e-05,-6.17092597407396,-5.504259307407294
12,-3.5213018943218763e-06,0.002330465680540113,3.202714506177076,-inf,0.0,0.7272727272727273,0.333582690685163,0.666417309314837,0.0,-293621.3410577353,9.410741040483117e-05,-6.17092597407396,-5.443653246801233
13,-3.4996804535639946e-06,0.0026920155515453665,3.203059462027812,-inf,0.0,0.7878787878787878,0.3353283716421759,0.6646716283578242,0.0,-293621.3410299615,0.00012188125401735306,-6.17092597407396,-5.3830471861951725
14,-4.935001440364599e-06,0.002950377077874159,3.203485112730019,-inf,0.0,0.8484848484848485,0.33300281612493016,0.66699718387507,0.0,-293621.3409938017,0.00015804101713001728,-6.17092597407396,-5.322441125589112
15,-5.351857959023171e-06,0.003294251178191972,3.2039269157762864,-inf,0.0,0.9090909090909092,0.3321612377070508,0.6678387622929493,0.0,-293621.34094722825,0.0002046144800260663,-6.17092597407396,-5.26183506498305
16,-5.608669221648784e-06,0.0037880045150869702,3.204447258899567,-inf,0.0,0.9696969696969697,0.33324233597236325,0.6667576640276368,0.0,-293621.3408872488,0.00026459392393007874,-6.17092597407396,-5.201229004376991
17,-6.994441409790911e-06,0.0043862610409683275,3.2050528181669278,-inf,0.0,1.0303030303030303,0.33506101272554634,0.6649389872744538,0.0,-293621.34080986254,0.0003419801942072809,-6.17092597407396,-5.1406229437709285
18,-7.13769920531866e-06,0.004953654769989942,3.205734969720202,-inf,0.0,1.0909090909090908,0.3349458159506824,0.6650541840493175,0.0,-293621.3407095331,0.00044230965431779623,-6.17092597407396,-5.08001688316487
19,-7.0935416847210494e-06,0.005579596844599783,3.206478243149469,-inf,0.0,1.1515151515151516,0.3344152604191563,0.6655847395808437,0.0,-293621.3405797622,0.0005720805493183434,-6.17092597407396,-5.019410822558807
20,-7.994197392516214e-06,0.00629921894888942,3.207415081253377,-inf,0.0,1.2121212121212122,0.3329922328610301,0.66700776713897,0.0,-293621.34041194,0.0007399027235805988,-6.17092597407396,-4.958804761952747
21,-8.764480906341773e-06,0.007163093338502587,3.2084123165479004,-inf,0.0,1.2727272727272727,0.332904845094107,0.667095154905893,0.0,-293621.3401961438,0.0009556989534758031,-6.17092597407396,-4.898198701346686
22,-1.307538133455026e-05,0.008244065904460482,3.209688755069195,-inf,0.0,1.3333333333333335,0.3333462203957714,0.6666537796042287,0.0,-293621.3399184949,0.0012333478080108762,-6.17092597407396,-4.837592640740626
23,-1.1078493272847471e-05,0.009302858976465754,3.210899874334979,-inf,0.0,1.393939393939394,0.33307426593424927,0.6669257340657508,0.0,-293621.33956267615,0.0015891665825620294,-6.17092597407396,-4.776986580134565
24,-1.0999056229950738e-05,0.010631441710031575,3.212392503957637,-inf,0.0,1.4545454545454546,0.33425603434432294,0.6657439656556771,0.0,-293621.33910846664,0.002043376094661653,-6.17092597407396,-4.716380519528505
25,-1.3783718286932468e-05,0.01399099609432154,3.2139681577801498,-inf,0.0,1.5151515151515151,0.37969153899185376,0.6203084610081463,0.0,-293621.33858902584,0.0025628168950788677,-6.17092597407396,-4.655774458922444
26,-1.4223091563290254e-05,0.013761919192379013,3.2160287620698846,-inf,0.0,1.5757575757575757,0.3334575760004047,0.6665424239995954,0.0,-293621.33779140527,0.003360437462106347,-6.17092597407396,-4.595168398316384
