,bkg_norm,signal_norm,e_cut,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,5.351595198798818e-06,0.0005354071881494056,3.499789028211718,-inf,0.0,0.0,0.33597930460586006,0.6640206953941399,0.0,-303526.6737297989,1.7543206922709942e-06,-6.17092597407396,-6.17092597407396
1,5.374458291961966e-06,0.0003526365056147132,3.4997683618427904,-inf,0.0,0.06060606060606061,0.3307842832655246,0.6692157167344754,0.0,-303526.67372950836,2.04483512789011e-06,-6.17092597407396,-6.110319913467899
2,6.554903880321296e-06,0.0003904203542892231,3.4997733755210896,-inf,0.0,0.12121212121212122,0.33143065474778916,0.6685693452522108,0.0,-303526.67372911086,2.442335244268179e-06,-6.17092597407396,-6.049713852861839
3,6.762109518226455e-06,0.000494544892250937,3.4997343624541255,-inf,0.0,0.18181818181818182,0.3323652939724976,0.6676347060275024,0.0,-303526.6737286871,2.8660870157182217e-06,-6.17092597407396,-5.989107792255778
4,7.215718995350337e-06,0.0005787034755065734,3.4996727621284096,-inf,0.0,0.24242424242424243,0.3322809582732877,0.6677190417267124,0.0,-303526.6737281303,3.422901500016451e-06,-6.17092597407396,-5.9285017316497175
5,7.108734055649418e-06,0.0006562421259197884,3.499613121458425,-inf,0.0,0.30303030303030304,0.3316912911137328,0.6683087088862671,0.0,-303526.6737273754,4.17779665440321e-06,-6.17092597407396,-5.867895671043657
6,8.647100290537372e-06,0.0006851498267857588,3.499606814859216,-inf,0.0,0.36363636363636365,0.3315526148497086,0.6684473851502915,0.0,-303526.6737265142,5.03897899761796e-06,-6.17092597407396,-5.807289610437596
7,9.992904967754261e-06,0.0008947656941318172,3.4995814766582094,-inf,0.0,0.42424242424242425,0.3351230696709749,0.6648769303290252,0.0,-303526.6737253744,6.178801413625479e-06,-6.17092597407396,-5.746683549831536
8,1.0847446491065225e-05,0.0009795666943860947,3.4995352369491934,-inf,0.0,0.48484848484848486,0.33485802697000944,0.6651419730299906,0.0,-303526.6737239164,7.63678690418601e-06,-6.17092597407396,-5.686077489225475
9,1.1807192234807309e-05,0.00096994758129167,3.499477151507247,-inf,0.0,0.5454545454545454,0.331968116678121,0.668031883321879,0.0,-303526.6737220356,9.51759284362197e-06,-6.17092597407396,-5.625471428619415
10,1.3578201776777633e-05,0.0012025323013663803,3.499407333076746,-inf,0.0,0.6060606060606061,0.3345073213340904,0.6654926786659097,0.0,-303526.6737196482,1.1904980055987835e-05,-6.17092597407396,-5.564865368013354
11,1.545613327125585e-05,0.0013654509547411993,3.4993554226129264,-inf,0.0,0.6666666666666667,0.335433921564511,0.664566078435489,0.0,-303526.6737165653,1.4987890608608723e-05,-6.17092597407396,-5.504259307407294
12,1.6523705448085494e-05,0.0014150296798108254,3.4992679061056204,-inf,0.0,0.7272727272727273,0.33259754407758985,0.6674024559224102,0.0,-303526.6737125721,1.8981110770255327e-05,-6.17092597407396,-5.443653246801233
13,1.9508246410026434e-05,0.0015066801552431825,3.4991744680025865,-inf,0.0,0.7878787878787878,0.33059776762881615,0.6694022323711838,0.0,-303526.6737074095,2.414366463199258e-05,-6.17092597407396,-5.3830471861951725
14,2.09237741748385e-05,0.0017408052685872583,3.499015817453133,-inf,0.0,0.8484848484848485,0.3296268156417625,0.6703731843582375,0.0,-303526.6737007262,3.082701005041599e-05,-6.17092597407396,-5.322441125589112
15,2.3830348846458594e-05,0.0021351910281101573,3.4989243718698133,-inf,0.0,0.9090909090909092,0.33385091262200917,0.6661490873779908,0.0,-303526.673692215,3.933819243684411e-05,-6.17092597407396,-5.26183506498305
