,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,llh,delta_llh,m1_tau1,m2_tau2
0,2.7099510708879176e-06,-0.07768778968791687,3.20077757282573,0.0,0.0,-293600.4339901508,0.0,-6.17092597407396,-6.17092597407396
1,-1.7746796397100369e-06,-0.07734092106424638,3.201158739709222,0.0,0.20408163265306123,-293600.4339793039,1.0846881195902824e-05,-6.17092597407396,-5.966844341420899
2,-1.250985185393437e-06,-0.07679854068386306,3.2017765152769484,0.0,0.40816326530612246,-293600.43395340943,3.674137406051159e-05,-6.17092597407396,-5.762762708767838
3,-3.040973608163188e-06,-0.07604134185059638,3.2027485337432435,0.0,0.6122448979591837,-293600.4338909729,9.917787974700332e-05,-6.17092597407396,-5.558681076114777
4,-8.511530229466945e-07,-0.0748125740584598,3.2041528863242053,0.0,0.8163265306122449,-293600.4337387578,0.00025139300851151347,-6.17092597407396,-5.354599443461716
5,-2.9241822748344394e-06,-0.07279046228344281,3.2065508395269537,0.0,1.0204081632653061,-293600.433364941,0.0006252098246477544,-6.17092597407396,-5.150517810808653
6,-4.512063041573929e-06,-0.06962937246208191,3.2102443827265925,0.0,1.2244897959183674,-293600.43245079846,0.0015393523499369621,-6.17092597407396,-4.946436178155592
7,-1.761744899094639e-06,-0.06476570426751095,3.215955950517239,0.0,1.4285714285714286,-293600.43024655746,0.0037435933481901884,-6.17092597407396,-4.742354545502531
8,5.675250456154104e-06,-0.057094005383612964,3.2249596862586887,0.0,1.6326530612244898,-293600.4250800019,0.00891014892840758,-6.17092597407396,-4.53827291284947
9,1.8090185932760848e-05,-0.04530094259732745,3.238719760347351,0.0,1.836734693877551,-293600.41355211154,0.02043803926790133,-6.17092597407396,-4.334191280196409
10,5.8230226822982194e-05,-0.027888557292739022,3.258820456677105,0.0,2.0408163265306123,-293600.38990002766,0.04409012314863503,-6.17092597407396,-4.130109647543348
11,0.00013050793469405434,-0.0025447744570808633,3.2873343827404384,0.0,2.2448979591836737,-293600.34775729035,0.0862328604562208,-6.17092597407396,-3.926028014890285
12,0.0002253402295880274,0.03276007723184095,3.325360726207531,0.0,2.4489795918367347,-293600.28860368213,0.14538646867731586,-6.17092597407396,-3.721946382237224
13,0.00030022080693263814,0.0791828694582954,3.3713938335591482,0.0,2.6530612244897958,-293600.23432456807,0.19966558273881674,-6.17092597407396,-3.517864749584163
14,0.0003216130249445051,0.1342229767387209,3.4163095352750705,0.0,2.857142857142857,-293600.2171942659,0.21679588488768786,-6.17092597407396,-3.313783116931102
15,0.00036044682803922453,0.19015006885681618,3.444166818264131,0.0,3.0612244897959187,-293600.232636426,0.20135372481308877,-6.17092597407396,-3.109701484278041
16,0.0005052949877583845,0.23893227261373406,3.445694354195489,0.0,3.2653061224489797,-293600.234568208,0.19942194281611592,-6.17092597407396,-2.90561985162498
17,0.0006855981466596988,0.2783082481870673,3.4270433294519025,0.0,3.4693877551020407,-293600.1999001912,0.23408995958743617,-6.17092597407396,-2.701538218971919
18,0.0007988341664783319,0.30932078143947056,3.3978918354052237,0.0,3.673469387755102,-293600.1444361059,0.28955404489533976,-6.17092597407396,-2.497456586318858
19,0.0008146899014848572,0.3333954467447796,3.365009887268189,0.0,3.8775510204081636,-293600.0936850909,0.3403050599154085,-6.17092597407396,-2.293374953665797
20,0.000746366503703685,0.35168678971217066,3.3322965919633503,0.0,4.081632653061225,-293600.0668991113,0.3670910394866951,-6.17092597407396,-2.089293321012736
21,0.0006369062147399786,0.36501584817370714,3.30175181556893,0.0,4.285714285714286,-293600.07007589156,0.36391425924375653,-6.17092597407396,-1.885211688359675
22,0.0005269310446796068,0.374003864986015,3.2744183895297945,0.0,4.4897959183673475,-293600.0949657859,0.33902436489006504,-6.17092597407396,-1.6811300557066122
23,0.000449557151808088,0.3795658496481873,3.2514790068480104,0.0,4.6938775510204085,-293600.12792596006,0.306064190750476,-6.17092597407396,-1.4770484230535512
24,0.0004103895110585196,0.38255733094537975,3.2331935844636708,0.0,4.8979591836734695,-293600.1582671515,0.27572299930034205,-6.17092597407396,-1.2729667904004902
25,0.00039580649800451914,0.3839095543024788,3.21962411129366,0.0,5.1020408163265305,-293600.1810939301,0.2528962207143195,-6.17092597407396,-1.0688851577474292
26,0.0003963186838359861,0.3844307565827464,3.210315507148669,0.0,5.3061224489795915,-293600.19619153807,0.23779861273942515,-6.17092597407396,-0.8648035250943682
27,0.00039912747467376995,0.38452527335681796,3.204190840769941,0.0,5.510204081632653,-293600.20541452395,0.22857562685385346,-6.17092597407396,-0.6607218924413054
28,0.00041497781823738737,0.3843511931979279,3.2003029613310474,0.0,5.714285714285714,-293600.2107547975,0.22323535330360755,-6.17092597407396,-0.4566402597882444
29,0.00041818540881117204,0.38423114473278425,3.197961826342294,0.0,5.918367346938775,-293600.21369798464,0.22029216616647318,-6.17092597407396,-0.2525586271351834
30,0.0004233566900666367,0.3841072148532016,3.196646926705646,0.0,6.122448979591837,-293600.2152425493,0.2187476014951244,-6.17092597407396,-0.04847699448212239
31,0.0004280335243071597,0.38401768305170464,3.195865556669775,0.0,6.326530612244898,-293600.21601967124,0.21797047957079485,-6.17092597407396,0.15560463817093861
32,0.00042881718655607274,0.3839984918149455,3.1954596456584263,0.0,6.530612244897959,-293600.2163985399,0.21759161091176793,-6.17092597407396,0.3596862708239996
33,0.00042839763360176,0.3840067472454449,3.1953613964938214,0.0,6.73469387755102,-293600.2165792408,0.21741091000149027,-6.17092597407396,0.5637679034770606
