,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,5.0904066555384695e-06,0.0006141533506230564,3.2004692825299688,-inf,0.0,0.0,0.3333333333333333,0.6666666666666666,0,-293620.8895616281,0.0,-6.17092597407396,-6.17092597407396
1,7.606239522695818e-06,0.0005896029509430725,3.200412630605944,-inf,0.0,0.06060606060606061,0.3333333333333333,0.6666666666666666,0,-293620.88955831924,3.3088726922869682e-06,-6.17092597407396,-6.110319913467899
2,-2.7367462191209203e-06,0.0007496050814311274,3.20052402194062,-inf,0.0,0.12121212121212122,0.3333333333333333,0.6666666666666666,0,-293620.88955517474,6.4533669501543045e-06,-6.17092597407396,-6.049713852861839
3,2.612778943135785e-06,0.0007884626993690801,3.200569213762984,-inf,0.0,0.18181818181818182,0.3333333333333333,0.6666666666666666,0,-293620.88955093216,1.0695948731154203e-05,-6.17092597407396,-5.989107792255778
4,4.2373761747141e-06,0.0008502529232656639,3.200610554991408,-inf,0.0,0.24242424242424243,0.3333333333333333,0.6666666666666666,0,-293620.88954538474,1.62433716468513e-05,-6.17092597407396,-5.9285017316497175
5,6.270853299303568e-07,0.000986285026060796,3.2004081853149886,-inf,0.0,0.30303030303030304,0.3333333333333333,0.6666666666666666,0,-293620.88953062467,3.100343747064471e-05,-6.17092597407396,-5.867895671043657
6,7.923618453977561e-06,0.0010172534772871086,3.200772585647512,-inf,0.0,0.36363636363636365,0.3333333333333333,0.6666666666666666,0,-293620.8895295388,3.208930138498545e-05,-6.17092597407396,-5.807289610437596
7,6.28004244788775e-06,0.0011488197387549458,3.2008923872065735,-inf,0.0,0.42424242424242425,0.3333333333333333,0.6666666666666666,0,-293620.8895182858,4.3342297431081533e-05,-6.17092597407396,-5.746683549831536
8,6.402418243503362e-06,0.0012661970349847273,3.200925184551987,-inf,0.0,0.48484848484848486,0.3333333333333333,0.6666666666666666,0,-293620.8895042098,5.7418306823819876e-05,-6.17092597407396,-5.686077489225475
9,5.686187914291223e-06,0.0014416606115433593,3.2010457737197364,-inf,0.0,0.5454545454545454,0.3333333333333333,0.6666666666666666,0,-293620.8894860863,7.554178591817617e-05,-6.17092597407396,-5.625471428619415
10,2.24639522015385e-06,0.0016543470307788797,3.201253845351884,-inf,0.0,0.6060606060606061,0.3333333333333333,0.6666666666666666,0,-293620.8894624443,9.918381692841649e-05,-6.17092597407396,-5.564865368013354
11,8.406651068139492e-06,0.0018031776662747459,3.2013267174354048,-inf,0.0,0.6666666666666667,0.3333333333333333,0.6666666666666666,0,-293620.88943284977,0.00012877833796665072,-6.17092597407396,-5.504259307407294
12,1.1770400004465027e-05,0.002020425095290607,3.2014625505602377,-inf,0.0,0.7272727272727273,0.3333333333333333,0.6666666666666666,0,-293620.8893942418,0.00016738631529733539,-6.17092597407396,-5.443653246801233
13,8.333997524206294e-06,0.0023039334963231464,3.201678371537166,-inf,0.0,0.7878787878787878,0.3333333333333333,0.6666666666666666,0,-293620.88934464834,0.00021697976626455784,-6.17092597407396,-5.3830471861951725
14,1.0707592362903593e-05,0.0026061445497634595,3.201930793797831,-inf,0.0,0.8484848484848485,0.3333333333333333,0.6666666666666666,0,-293620.8892804149,0.0002812132006511092,-6.17092597407396,-5.322441125589112
15,1.055505957401809e-05,0.0029381348600713464,3.202150263902523,-inf,0.0,0.9090909090909092,0.3333333333333333,0.6666666666666666,0,-293620.8891975165,0.0003641116200014949,-6.17092597407396,-5.26183506498305
16,1.47240978484128e-05,0.0033190903586967206,3.202438025669543,-inf,0.0,0.9696969696969697,0.3333333333333333,0.6666666666666666,0,-293620.8890901836,0.0004714445094577968,-6.17092597407396,-5.201229004376991
17,1.6701527171342595e-05,0.003747534453490295,3.2027427059118385,-inf,0.0,1.0303030303030303,0.3333333333333333,0.6666666666666666,0,-293620.88895121706,0.0006104110507294536,-6.17092597407396,-5.1406229437709285
18,1.5865262969789842e-05,0.004315264669298179,3.2031314955614367,-inf,0.0,1.0909090909090908,0.3333333333333333,0.6666666666666666,0,-293620.8887714861,0.0007901419885456562,-6.17092597407396,-5.08001688316487
19,1.918740034671914e-05,0.004901860208607835,3.2035578314913913,-inf,0.0,1.1515151515151516,0.3333333333333333,0.6666666666666666,0,-293620.88853885356,0.0010227745515294373,-6.17092597407396,-5.019410822558807
20,2.5426277230158636e-05,0.005540782773169167,3.2040341949924827,-inf,0.0,1.2121212121212122,0.3333333333333333,0.6666666666666666,0,-293620.88823805645,0.0013235716614872217,-6.17092597407396,-4.958804761952747
21,2.4114024160228586e-05,0.006354282158053673,3.2046171174074414,-inf,0.0,1.2727272727272727,0.3333333333333333,0.6666666666666666,0,-293620.88784947444,0.0017121536657214165,-6.17092597407396,-4.898198701346686
22,3.253465546249574e-05,0.007167861170208787,3.2052034335173256,-inf,0.0,1.3333333333333335,0.3333333333333333,0.6666666666666666,0,-293620.8873485101,0.0022131180157884955,-6.17092597407396,-4.837592640740626
23,3.845697097679486e-05,0.00817533295066631,3.2059336020617657,-inf,0.0,1.393939393939394,0.3333333333333333,0.6666666666666666,0,-293620.88670376374,0.0028578643687069416,-6.17092597407396,-4.776986580134565
24,4.2214127314929825e-05,0.009310778963855718,3.206725872902055,-inf,0.0,1.4545454545454546,0.3333333333333333,0.6666666666666666,0,-293620.88587602554,0.0036856025690212846,-6.17092597407396,-4.716380519528505
