,bkg_norm,signal_norm,e_cut,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,8.748383667409864e-06,0.00034892536361074935,3.499800374310076,-inf,0.0,0.0,0.3333333333333333,0.6666666666666666,0,-303526.2221466307,0.0,-6.17092597407396,-6.17092597407396
1,1.1816118784494727e-05,0.00042081904806123474,3.499763407041432,-inf,0.0,0.0707070707070707,0.3333333333333333,0.6666666666666666,0,-303526.22214637406,2.566375769674778e-07,-6.17092597407396,-6.100218903366889
2,6.930093137544062e-06,0.00048536646523671026,3.499748081392298,-inf,0.0,0.1414141414141414,0.3333333333333333,0.6666666666666666,0,-303526.2221461715,4.592002369463444e-07,-6.17092597407396,-6.029511832659818
3,8.398598631877672e-06,0.0005510944152122026,3.4997060283644252,-inf,0.0,0.2121212121212121,0.3333333333333333,0.6666666666666666,0,-303526.2221456143,1.0164221748709679e-06,-6.17092597407396,-5.958804761952747
4,8.053768446571072e-06,0.0006167385709932367,3.499664929464427,-inf,0.0,0.2828282828282828,0.3333333333333333,0.6666666666666666,0,-303526.22214490006,1.730630174279213e-06,-6.17092597407396,-5.888097691245678
5,8.663987655107416e-06,0.0006176655519489267,3.4996941367898318,-inf,0.0,0.35353535353535354,0.3333333333333333,0.6666666666666666,0,-303526.2221439832,2.6475172489881516e-06,-6.17092597407396,-5.817390620538607
6,1.0404411750189868e-05,0.0007446018715579938,3.49962926476551,-inf,0.0,0.4242424242424242,0.3333333333333333,0.6666666666666666,0,-303526.22214279097,3.839726559817791e-06,-6.17092597407396,-5.746683549831536
7,9.388361335296091e-06,0.000897208526160866,3.4995315890439604,-inf,0.0,0.4949494949494949,0.3333333333333333,0.6666666666666666,0,-303526.22214115364,5.477049853652716e-06,-6.17092597407396,-5.675976479124465
8,1.1385433687118885e-05,0.0010513016932980157,3.499417693155896,-inf,0.0,0.5656565656565656,0.3333333333333333,0.6666666666666666,0,-303526.2221388887,7.741968147456646e-06,-6.17092597407396,-5.605269408417394
9,1.4511036898614708e-05,0.0010757145867057742,3.499414173449781,-inf,0.0,0.6363636363636364,0.3333333333333333,0.6666666666666666,0,-303526.22213629726,1.0333431418985128e-05,-6.17092597407396,-5.534562337710323
10,1.884641720712235e-05,0.0011573597849997058,3.4994117964917955,-inf,0.0,0.7070707070707071,0.3333333333333333,0.6666666666666666,0,-303526.2221326956,1.3935088645666838e-05,-6.17092597407396,-5.463855267003252
11,1.9552423553673453e-05,0.0014616967072257235,3.499234809856184,-inf,0.0,0.7777777777777778,0.3333333333333333,0.6666666666666666,0,-303526.2221276495,1.898116897791624e-05,-6.17092597407396,-5.393148196296181
