,bkg_norm,signal_norm,alpha,beta,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,-8.952460109843995e-05,0.06818716060648805,2.0244962461901204,0.4999999999999994,-inf,0.0,0.0,0.5000000000000006,0.3888999783038952,0,-211686.98570903207,0.011903108359547332,-6.17092597407396,-6.17092597407396
1,-8.878872982635703e-05,0.0673724358171559,2.024562472793254,0.4999999999999998,-inf,0.0,0.20408163265306123,0.5000000000000002,0.3906426937279647,0,-211686.98586817482,0.011743965616915375,-6.17092597407396,-5.966844341420899
2,-8.793717499676288e-05,0.06786119885917287,2.0246834432520204,0.5000000000000001,-inf,0.0,0.40816326530612246,0.4999999999999999,0.3899774185614925,0,-211686.98611925874,0.011492881691083312,-6.17092597407396,-5.762762708767838
3,-8.565052398380483e-05,0.06715369997876111,2.0248405748591587,0.49999999999999983,-inf,0.0,0.6122448979591837,0.5000000000000002,0.3917436492560143,0,-211686.9865125243,0.011099616123829037,-6.17092597407396,-5.558681076114777
4,-8.288719738950582e-05,0.06939889395131936,2.025138087122479,0.5000000000000002,-inf,0.0,0.8163265306122449,0.4999999999999997,0.3880934851869974,0,-211686.9871284951,0.010483645339263603,-6.17092597407396,-5.354599443461716
5,-7.819945063783102e-05,0.07068139475396219,2.025589061134526,0.5000000000000002,-inf,0.0,1.0204081632653061,0.49999999999999967,0.3866948885783728,0,-211686.9880679353,0.009544205124257132,-6.17092597407396,-5.150517810808653
6,-7.084308792398198e-05,0.07263871360990283,2.026307898924178,0.4999999999999996,-inf,0.0,1.2244897959183674,0.5000000000000004,0.38463825137442686,0,-211686.9894625203,0.008149620145559311,-6.17092597407396,-4.946436178155592
7,-5.9403535371646524e-05,0.07661047275947516,2.027457530325884,0.5,-inf,0.0,1.4285714285714286,0.49999999999999994,0.3797430619136766,0,-211686.9914278723,0.006184268131619319,-6.17092597407396,-4.742354545502531
8,-4.155561907466633e-05,0.08133840102783099,2.02925862102023,0.5,-inf,0.0,1.6326530612244898,0.5,0.37499509318611085,0,-211686.99393817698,0.003673963452456519,-6.17092597407396,-4.53827291284947
9,-1.4709593821049268e-05,0.09103954323221543,2.032089607500672,0.5,-inf,0.0,1.836734693877551,0.5,0.3633268944645521,0,-211686.9965031112,0.0011090292246080935,-6.17092597407396,-4.334191280196409
10,2.4457567601992764e-05,0.10649932163923032,2.036467892173494,0.5,-inf,0.0,2.0408163265306123,0.49999999999999994,0.3448274932249366,0,-211686.99750573572,0.00010640471009537578,-6.17092597407396,-4.130109647543348
11,4.550546692759163e-05,0.1525038561211781,2.0514874057980226,0.4947253735471474,-inf,0.0,2.2448979591836737,0.5052746264528524,0.2776619922962727,0,-211686.9951289449,0.0024831955379340798,-6.17092597407396,-3.926028014890285
12,5.494012085711979e-05,0.22453895555394351,2.075195943268116,0.4857858738517044,-inf,0.0,2.4489795918367347,0.5142141261482958,0.1805310901023966,0,-211686.99160308347,0.0060090569604653865,-6.17092597407396,-3.721946382237224
13,5.361272763071035e-05,0.3131599028049262,2.1042722043360107,0.4754724462133856,-inf,0.0,2.6530612244897958,0.5245275537866145,0.07808512408627627,0,-211686.98889138576,0.008720754674868658,-6.17092597407396,-3.517864749584163
14,3.631602269442638e-05,0.39741621064431804,2.134561840708325,0.4663850154305051,-inf,0.0,2.857142857142857,0.5336149845694949,0.0,0,-211686.98988662893,0.007725511502940208,-6.17092597407396,-3.313783116931102
15,2.1864579859087456e-05,0.42649782942269493,2.1616116024388696,0.4625452517077854,-inf,0.0,3.0612244897959187,0.5374547482922146,9.977724267521114e-18,0,-211686.98757015826,0.010041982168331742,-6.17092597407396,-3.109701484278041
16,-3.3081466670958974e-05,0.4642611850460604,2.178560243600113,0.46604323590882824,-inf,0.0,3.2653061224489797,0.5339567640911719,5.4101801186575464e-20,0,-211686.9740516421,0.023560498346341774,-6.17092597407396,-2.90561985162498
17,-0.00011255186501802218,0.5082358882365035,2.1755355601864506,0.4802126295269494,-inf,0.0,3.4693877551020407,0.5197873704730508,0.0,0,-211686.94338682803,0.054225312400376424,-6.17092597407396,-2.701538218971919
18,-0.0002051408567622431,0.5510133197540195,2.154882363400855,0.5,-inf,0.0,3.673469387755102,0.4999999999999999,2.04000213884266e-16,0,-211686.89347633807,0.10413580236490816,-6.17092597407396,-2.497456586318858
19,-0.00038111831602615496,0.5743435589589652,2.1511397806723904,0.5000000000000004,-inf,0.0,3.8775510204081636,0.49999999999999956,9.557988848752364e-15,0,-211686.75949317604,0.23811896439292468,-6.17092597407396,-2.293374953665797
20,-0.0004819749142574728,0.5859305105239111,2.135499280109568,0.49999999999999417,-inf,0.0,4.081632653061225,0.5000000000000058,4.0157629211117905e-19,0,-211686.56810046203,0.42951167840510607,-6.17092597407396,-2.089293321012736
21,-0.000497971965459392,0.5875624608293061,2.112663438316465,0.5000000000000173,-inf,0.0,4.285714285714286,0.4999999999999827,9.532220987996367e-14,0,-211686.4491503409,0.5484617995389272,-6.17092597407396,-1.885211688359675
22,-0.0004475430714941059,0.582661170053493,2.0880097555280686,0.500000000000003,-inf,0.0,4.4897959183673475,0.49999999999999695,3.5564343960962596e-14,0,-211686.45572226457,0.5418898758653086,-6.17092597407396,-1.6811300557066122
23,-0.0003804244672825819,0.44527736340647833,2.0703642037609638,0.4999999999999931,-inf,0.0,4.6938775510204085,0.5000000000000068,0.19808198253506376,0,-211686.5571740124,0.4404381280182861,-6.17092597407396,-1.4770484230535512
24,-0.00028450633051200244,0.25737047042325556,2.052916603032651,0.49999999999999994,-inf,0.0,4.8979591836734695,0.5,0.5874536144034636,0,-211686.72489650856,0.27271563187241554,-6.17092597407396,-1.2729667904004902
25,-0.00019616624610926603,0.15124674923783976,2.0390148297051915,0.5000000000000002,-inf,0.0,5.1020408163265305,0.4999999999999997,0.8810540482741314,0,-211686.8607912721,0.13682086832704954,-6.17092597407396,-1.0688851577474292
26,-0.00014066908673142687,0.11234085055088372,2.030977687073441,0.5000000000000017,-inf,0.0,5.3061224489795915,0.4999999999999983,1.0,0,-211686.9348343057,0.0627778347407002,-6.17092597407396,-0.8648035250943682
27,-0.00011361188034397725,0.11018454348413134,2.0272558848421784,0.5,-inf,0.0,5.510204081632653,0.49999999999999994,1.0,0,-211686.9662997344,0.031312406033976004,-6.17092597407396,-0.6607218924413054
28,-0.00010165653012323122,0.10925486288729996,2.025716844781829,0.5,-inf,0.0,5.714285714285714,0.49999999999999994,1.0,0,-211686.9781026366,0.019509503821609542,-6.17092597407396,-0.4566402597882444
29,-9.708785933358893e-05,0.1089064075206785,2.0251563629734126,0.5,-inf,0.0,5.918367346938775,0.5,1.0,0,-211686.98219675466,0.015415385772939771,-6.17092597407396,-0.2525586271351834
30,-9.538436102547278e-05,0.10878271717509985,2.0249655031172793,0.5,-inf,0.0,6.122448979591837,0.49999999999999994,1.0,0,-211686.98351241078,0.01409972965484485,-6.17092597407396,-0.04847699448212239
31,-9.498775066690958e-05,0.10875212652863092,2.0249168983888377,0.5,-inf,0.0,6.326530612244898,0.5,0.9999999999893754,0,-211686.98390182664,0.01371031379676424,-6.17092597407396,0.15560463817093861
32,-9.468312581136732e-05,0.1087340214562508,2.024892433994155,0.5,-inf,0.0,6.530612244897959,0.5,1.0,0,-211686.9840075687,0.013604571722680703,-6.17092597407396,0.3596862708239996
33,-9.469964540718308e-05,0.1087348224361414,2.0248932177203813,0.5,-inf,0.0,6.73469387755102,0.5,1.0,0,-211686.98403369458,0.013578445854363963,-6.17092597407396,0.5637679034770606
34,-9.469813021497162e-05,0.10873418664072905,2.02489229905296,0.5,-inf,0.0,6.938775510204081,0.49999999999999994,1.0,0,-211686.98403949817,0.013572642259532586,-6.17092597407396,0.7678495361301216
35,-9.469375025663184e-05,0.10873361417478575,2.0248915117719486,0.5,-inf,0.0,7.142857142857143,0.5000000000000001,1.0,0,-211686.98404065036,0.013571490067988634,-6.17092597407396,0.9719311687831826
36,-9.468495170312212e-05,0.10873349049281489,2.024891369195427,0.5,-inf,0.0,7.346938775510204,0.5,1.0,0,-211686.98404085427,0.013571286166552454,-6.17092597407396,1.1760128014362436
37,-9.457571391235888e-05,0.1087329763424272,2.0248912114739133,0.5,-inf,0.0,7.551020408163265,0.5,1.0,0,-211686.98404088488,0.013571255549322814,-6.17092597407396,1.3800944340893047
38,-9.469074316657082e-05,0.10873416025328678,2.024891983866243,0.5,-inf,0.0,7.755102040816327,0.5,1.0,0,-211686.9840408907,0.013571249728556722,-6.17092597407396,1.5841760667423657
39,-9.46707544986919e-05,0.10873220758011025,2.024889708927746,0.5,-inf,0.0,7.959183673469388,0.5000000000000001,1.0,0,-211686.98404089003,0.013571250397944823,-6.17092597407396,1.7882576993954302
40,-9.476459613850496e-05,0.10873332459643612,2.0248906250405594,0.5,-inf,0.0,8.16326530612245,0.49999999999999994,0.9999999997575996,0,-211686.98404088998,0.013571250456152484,-6.17092597407396,1.9923393320484877
41,-9.468092989530413e-05,0.10873383096490284,2.0248918472947954,0.5,-inf,0.0,8.36734693877551,0.5,1.0,0,-211686.98404089132,0.013571249117376283,-6.17092597407396,2.1964209647015522
42,-9.464888325271457e-05,0.1087337582826584,2.024891636879883,0.5,-inf,0.0,8.571428571428571,0.5,1.0,0,-211686.98404089117,0.013571249262895435,-6.17092597407396,2.4005025973546097
43,-9.47313316721276e-05,0.10873531214732596,2.0248935754571216,0.5,-inf,0.0,8.775510204081632,0.49999999999999994,1.0,0,-211686.9840408907,0.013571249728556722,-6.17092597407396,2.6045842300076743
44,-9.468531083483075e-05,0.10873362084721881,2.0248914141917207,0.5,-inf,0.0,8.979591836734695,0.5000000000000001,1.0,0,-211686.9840408913,0.013571249146480113,-6.17092597407396,2.8086658626607353
45,-9.468531083483075e-05,0.10873362084721881,2.0248914141917207,0.5,-inf,0.0,9.183673469387756,0.5000000000000001,1.0,0,-211686.9840408913,0.013571249146480113,-6.17092597407396,3.0127474953137963
46,-9.468531083483075e-05,0.10873362084721881,2.0248914141917207,0.5,-inf,0.0,9.387755102040817,0.5000000000000001,1.0,0,-211686.9840408913,0.013571249146480113,-6.17092597407396,3.2168291279668573
47,-9.468531083483075e-05,0.10873362084721881,2.0248914141917207,0.5,-inf,0.0,9.591836734693878,0.5000000000000001,1.0,0,-211686.9840408913,0.013571249146480113,-6.17092597407396,3.4209107606199183
48,-9.468531083483075e-05,0.10873362084721881,2.0248914141917207,0.5,-inf,0.0,9.795918367346939,0.5000000000000001,1.0,0,-211686.9840408913,0.013571249146480113,-6.17092597407396,3.6249923932729793
49,-9.468531083483075e-05,0.10873362084721881,2.0248914141917207,0.5,-inf,0.0,10.0,0.5000000000000001,1.0,0,-211686.9840408913,0.013571249146480113,-6.17092597407396,3.8290740259260403
50,-8.882465043446818e-05,0.06711212857120408,2.024549532839647,0.4999999999999996,-inf,0.20408163265306123,0.0,0.5000000000000003,0.39111974388541,0,-211686.98584811334,0.011764027090976015,-5.966844341420899,-6.17092597407396
51,-8.804032586959359e-05,0.06787416613333734,2.024623897346812,0.5000000000000001,-inf,0.20408163265306123,0.20408163265306123,0.4999999999999998,0.3898196444290961,0,-211686.98600598384,0.011606156593188643,-5.966844341420899,-5.966844341420899
52,-8.696552949042586e-05,0.0679268995224739,2.0247327117285483,0.5000000000000001,-inf,0.20408163265306123,0.40816326530612246,0.4999999999999998,0.38997663332082794,0,-211686.98625554447,0.011356595961842686,-5.966844341420899,-5.762762708767838
53,-8.513432107761124e-05,0.0682594880592145,2.0249089290721742,0.4999999999999997,-inf,0.20408163265306123,0.6122448979591837,0.5000000000000002,0.38975632000570637,0,-211686.98664790843,0.01096423200215213,-5.966844341420899,-5.558681076114777
54,-8.208656355921804e-05,0.06798649008589212,2.0251695309774083,0.5000000000000006,-inf,0.20408163265306123,0.8163265306122449,0.49999999999999944,0.39095389966744665,0,-211686.9872561323,0.01035600813338533,-5.966844341420899,-5.354599443461716
55,-7.753586299400462e-05,0.07066352710953981,2.025624982620477,0.49999999999999983,-inf,0.20408163265306123,1.0204081632653061,0.5000000000000002,0.38680099409074,0,-211686.98819084754,0.00942129289614968,-5.966844341420899,-5.150517810808653
56,-7.021045884106944e-05,0.07285914514769976,2.0263713720618295,0.4999999999999998,-inf,0.20408163265306123,1.2244897959183674,0.5000000000000002,0.3843628091494346,0,-211686.9895769623,0.008035178121645004,-5.966844341420899,-4.946436178155592
57,-5.868740439833878e-05,0.07613431862740204,2.027513951138661,0.49999999999999994,-inf,0.20408163265306123,1.4285714285714286,0.5000000000000002,0.380793183367963,0,-211686.99152716156,0.006084978871513158,-5.966844341420899,-4.742354545502531
58,-4.0894717066105256e-05,0.08193607645897498,2.029319761421033,0.5000000000000001,-inf,0.20408163265306123,1.6326530612244898,0.49999999999999994,0.37400041061352723,0,-211686.99401351876,0.0035986216680612415,-5.966844341420899,-4.53827291284947
59,-1.4060687198479418e-05,0.09166444867096352,2.0321528509838642,0.5000000000000001,-inf,0.20408163265306123,1.836734693877551,0.49999999999999994,0.36229954127831865,0,-211686.99654059293,0.0010715475073084235,-5.966844341420899,-4.334191280196409
60,2.5257700425559944e-05,0.105812212301871,2.036530122974342,0.5,-inf,0.20408163265306123,2.0408163265306123,0.49999999999999994,0.3462323557212635,0,-211686.99748486825,0.0001272721856366843,-5.966844341420899,-4.130109647543348
61,4.593531531441107e-05,0.1530322364811522,2.0516369581149028,0.4946664993617281,-inf,0.20408163265306123,2.2448979591836737,0.505333500638272,0.2768764698514631,0,-211686.99507926448,0.002532875951146707,-5.966844341420899,-3.926028014890285
62,5.541860151522739e-05,0.22470968376637807,2.075351581460441,0.4857237943319023,-inf,0.20408163265306123,2.4489795918367347,0.5142762056680976,0.18036628361648968,0,-211686.99153663602,0.006075504410546273,-5.966844341420899,-3.721946382237224
63,5.387275882836613e-05,0.31381979204618365,2.104427561326722,0.47540724516113403,-inf,0.20408163265306123,2.6530612244897958,0.5245927548388659,0.07730118110752636,0,-211686.98881763886,0.008794501569354907,-5.966844341420899,-3.517864749584163
64,3.675597037473577e-05,0.39747466896177813,2.1347384028671264,0.46631881583711376,-inf,0.20408163265306123,2.857142857142857,0.5336811841628862,3.784085902032859e-19,0,-211686.9898204574,0.007791683019604534,-5.966844341420899,-3.313783116931102
65,2.240054416147598e-05,0.4265611451329081,2.161783992053951,0.4624829581250969,-inf,0.20408163265306123,3.0612244897959187,0.5375170418749032,2.388694674960678e-17,0,-211686.98749069244,0.01012144799460657,-5.966844341420899,-3.109701484278041
66,-3.2467358698202616e-05,0.46432076963823543,2.1787569189393605,0.465966282151494,-inf,0.20408163265306123,3.2653061224489797,0.534033717848506,1.086718977453367e-18,0,-211686.9740501608,0.02356197964400053,-5.966844341420899,-2.90561985162498
67,-0.00011198437684118736,0.5082981381155667,2.1757504959031677,0.4801283042232908,-inf,0.20408163265306123,3.4693877551020407,0.5198716957767092,6.480851542635484e-20,0,-211686.943556423,0.05405571742448956,-5.966844341420899,-2.701538218971919
68,-0.0002041131228048724,0.5511198714737447,2.1549730516359427,0.5,-inf,0.20408163265306123,3.673469387755102,0.4999999999999999,8.736354075295649e-17,0,-211686.8938969995,0.1037151409254875,-5.966844341420899,-2.497456586318858
