,decay_rate,bkg_norm,signal_norm,spectral_index,theta_12,theta_13,theta_23,delta_cp,llh,delta_llh
74,1.4837092731829573,-1.5974365017491073e-05,-0.03628642348672275,3.224656076326055,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33276534214,0.008389326394535601
75,1.5037593984962405,-1.650395440609824e-05,-0.035349485592234976,3.2257811509580847,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3319879067,0.00916676182532683
76,1.5238095238095237,-1.4835107299379918e-05,-0.034328767677688214,3.2269596414874444,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33114027156,0.010014396975748241
77,1.543859649122807,-1.728109302381445e-05,-0.03323707294791655,3.228303807942473,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33021645533,0.01093821320682764
78,1.5639097744360901,-1.4320615626458125e-05,-0.0322042788057898,3.229514261525059,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3292099344,0.011944734142161906
79,1.5839598997493733,-1.409576019666179e-05,-0.031048372624115767,3.2308799092461404,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3281135267,0.013041141850408167
80,1.6040100250626566,-1.4143450915041312e-05,-0.029822576743923045,3.2323751209292553,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.32691950834,0.014235160197131336
81,1.6240601503759398,-1.4160001973887711e-05,-0.02857835735947779,3.233817189699368,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3256200474,0.015534621139522642
82,1.644110275689223,-1.0925600126219713e-05,-0.027273891408715136,3.235373431983023,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.324205942,0.016948726552072912
83,1.6641604010025062,-8.807404175580994e-06,-0.025944660576873113,3.236880435678626,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3226680716,0.018486596934963018
84,1.6842105263157894,-9.599137400709494e-06,-0.02452060632531563,3.238586940099691,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3209960303,0.02015863824635744
85,1.7042606516290726,-9.375294454880213e-06,-0.0230274277600654,3.2403160657479244,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3191788479,0.0219758206512779
86,1.7243107769423558,-7.453090343355562e-06,-0.021485817825202813,3.2421904854730994,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3172049926,0.023949675960466266
87,1.744360902255639,-3.973825358399575e-06,-0.019907380953925212,3.2440383079158304,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3150620418,0.02609262673649937
88,1.7644110275689222,1.8062042014140378e-06,-0.018260581090550978,3.245904326894462,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.31273617415,0.028418494388461113
89,1.7844611528822054,1.8133214729764586e-06,-0.016507550701274742,3.2480198967381164,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3102141406,0.030940527911297977
90,1.8045112781954886,4.83366529711519e-06,-0.014687888301159009,3.2501770466986275,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.30748002615,0.03367464238544926
91,1.8245614035087718,7.4960057554747235e-06,-0.012774762109769947,3.2524560746310165,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.30451801943,0.036636649107094854
92,1.844611528822055,1.097022807883707e-05,-0.010802069631113917,3.2547864943645592,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.30131108215,0.039843586389906704
93,1.8646616541353382,1.3696650220565574e-05,-0.008749571145598501,3.2571540469183273,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.29784119135,0.04331347718834877
94,1.8847117794486214,2.0473949698768515e-05,-0.006617821682113136,3.259692400306138,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.29408953886,0.04706512967823073
95,1.9047619047619047,2.4481174749121496e-05,-0.004369869912893273,3.262318763869381,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2900359744,0.051118694129399955
96,1.9248120300751879,3.0238996930901757e-05,-0.0020504716063252187,3.2651020491982217,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2856596632,0.055495005333796144
97,1.944862155388471,3.6915265142255084e-05,0.0003548500295666046,3.2679254069845336,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2809385904,0.0602160781272687
98,1.9649122807017543,3.838529909298337e-05,0.0029083483352922847,3.270898722312747,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2758497463,0.06530492223100737
99,1.9849624060150375,5.160722037561307e-05,0.005491014166692633,3.273933062320362,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.27036981296,0.07078485557576641
100,2.0050125313283207,6.0879881513725565e-05,0.008195304715983816,3.277145123577296,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2644738155,0.07668085303157568
101,2.025062656641604,6.886244772878392e-05,0.011042320553127304,3.2804865124051283,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2581364652,0.08301820332417265
102,2.045112781954887,7.858024616615773e-05,0.013993237860342476,3.283969876667746,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2513317693,0.0898228992591612
103,2.0651629072681703,9.143240213178649e-05,0.01701500625491139,3.2875189410272894,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2440333162,0.0971213523298502
104,2.0852130325814535,0.00010394713390527273,0.02017418336866921,3.2912118535623747,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2362141045,0.10494056402239949
105,2.1052631578947367,0.00012141742713076397,0.02341080419254028,3.295027421927519,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.22784683487,0.11330783367156982
106,2.12531328320802,0.00013090276908732615,0.026893054807016068,3.2990588079810337,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.2189054712,0.12224919733125716
107,2.145363408521303,0.0001423172638271768,0.030528722401871135,3.3034011209644913,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.20936203236,0.1317926361807622
108,2.1654135338345863,0.00016306954246636307,0.034119869908811315,3.307530408183358,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.19919169985,0.1419629686861299
