,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,llh,delta_llh,m1_tau1,m2_tau2
0,-1.2058787831498744e-06,-0.07760078952093566,3.2008671357338487,0.0,0.0,-204314.1122102012,0.00020039413357153535,-6.17092597407396,-6.17092597407396
1,-1.3206037144220655e-06,-0.0774948888740131,3.200997152777057,0.0,0.20408163265306123,-204314.11214565125,0.0002649440721143037,-6.17092597407396,-5.966844341420899
2,-1.7176933861810753e-06,-0.07731950217355338,3.201209434579589,0.0,0.40816326530612246,-204314.11202439372,0.0003862016019411385,-6.17092597407396,-5.762762708767838
3,-2.1727776560352578e-06,-0.07704542033912094,3.2015417130473094,0.0,0.6122448979591837,-204314.11178542324,0.000625172076979652,-6.17092597407396,-5.558681076114777
4,-2.5785320940426745e-06,-0.0766139726213138,3.202063255024197,0.0,0.8163265306122449,-204314.11129212138,0.0011184739414602518,-6.17092597407396,-5.354599443461716
5,-3.6054442364163766e-06,-0.07592724346729007,3.202890229860798,0.0,1.0204081632653061,-204314.11023510687,0.0021754884510301054,-6.17092597407396,-5.150517810808653
6,-5.335660260103872e-06,-0.07484835119372382,3.2041885877702283,0.0,1.2244897959183674,-204314.10792196143,0.004488633887376636,-6.17092597407396,-4.946436178155592
7,-7.325504967855905e-06,-0.07316582835768497,3.206195791315043,0.0,1.4285714285714286,-204314.1028663373,0.009544258005917072,-6.17092597407396,-4.742354545502531
8,-1.0149657040764299e-05,-0.07058517749915595,3.209240069194965,0.0,1.6326530612244898,-204314.09215193088,0.020258664444554597,-6.17092597407396,-4.53827291284947
9,-1.3350873964738068e-05,-0.06672194880769475,3.2137082753391315,0.0,1.836734693877551,-204314.07101104144,0.04139955388382077,-6.17092597407396,-4.334191280196409
10,-1.6004737029435493e-05,-0.06113469819666578,3.2199679195217605,0.0,2.0408163265306123,-204314.03445917388,0.07795142143731937,-6.17092597407396,-4.130109647543348
11,-1.7778770921820554e-05,-0.05344440017903649,3.2281242001160404,0.0,2.2448979591836737,-204313.9843484015,0.12806219383492135,-6.17092597407396,-3.926028014890285
12,-1.7659174795929878e-05,-0.043561859246059834,3.2376366536624848,0.0,2.4489795918367347,-204313.94002642485,0.17238417046610266,-6.17092597407396,-3.721946382237224
13,-1.42276714608668e-05,-0.031943285982104594,3.2470056233440796,0.0,2.6530612244897958,-204313.93276461784,0.1796459774777759,-6.17092597407396,-3.517864749584163
14,-4.491328550908164e-06,-0.019644173690414518,3.254028315925254,0.0,2.857142857142857,-204313.969769375,0.14264122032909654,-6.17092597407396,-3.313783116931102
